scope,direction,transport,source_id,destination_id,route_class,estimate,ci_low,ci_high
HTML,induction,raw,layer_09.head_04,layer_09.head_04,identity,0.0006678586470737876,0.00022141059352119357,0.0012588738762738
HTML,induction,raw,layer_09.head_04,layer_09.head_11,within_layer,-2.2827594409963098e-05,-0.00017386345393789559,0.00011138827359944126
HTML,induction,raw,layer_09.head_04,layer_09.head_13,within_layer,3.39614577770475e-05,-0.00011778162968090708,0.00019981604904462582
HTML,induction,raw,layer_09.head_04,layer_10.head_02,earlier_to_later,5.7348919862804885e-05,-9.907323086400205e-05,0.00021412877458378107
HTML,induction,raw,layer_09.head_04,layer_10.head_12,earlier_to_later,-0.0006533309466616821,-0.0009850874304903991,-0.0003903079776280792
HTML,induction,raw,layer_09.head_04,layer_11.head_08,earlier_to_later,0.0006360385388608606,0.0003283865184195683,0.0010193426499803789
HTML,induction,raw,layer_09.head_04,layer_11.head_09,earlier_to_later,-0.0005517582522428375,-0.0008558178721584908,-0.00027912665064831613
HTML,induction,raw,layer_09.head_04,layer_11.head_14,earlier_to_later,-0.0005129773149885917,-0.0007544764035172053,-0.0003190643794651292
HTML,induction,raw,layer_09.head_04,layer_11.head_15,earlier_to_later,-0.0007577029794594983,-0.0011212278233921735,-0.0004716623212204584
HTML,induction,raw,layer_09.head_04,layer_12.head_02,earlier_to_later,-0.0008766373436596751,-0.0012137981901152704,-0.0005932820479456928
HTML,induction,raw,layer_09.head_04,layer_12.head_03,earlier_to_later,0.00020484230736019982,8.440908354892053e-05,0.00034717711405717874
HTML,induction,raw,layer_09.head_04,layer_12.head_12,earlier_to_later,-0.00012177410540111288,-0.00026712103366915594,1.4027737260000816e-05
HTML,induction,raw,layer_09.head_11,layer_09.head_04,within_layer,0.004620426317042425,0.003135827554164745,0.00633134729529599
HTML,induction,raw,layer_09.head_11,layer_09.head_11,identity,0.0070883749784290415,0.0036983625219811573,0.011619476815499777
HTML,induction,raw,layer_09.head_11,layer_09.head_13,within_layer,0.0035787030428356533,0.0023814876526600977,0.004975596076078892
HTML,induction,raw,layer_09.head_11,layer_10.head_02,earlier_to_later,0.002875139844808634,0.0015538272273598588,0.004404163086779948
HTML,induction,raw,layer_09.head_11,layer_10.head_12,earlier_to_later,0.001382544164804473,9.387094072825949e-05,0.0028040343945652433
HTML,induction,raw,layer_09.head_11,layer_11.head_08,earlier_to_later,0.0010241999931375808,4.5342402479267586e-05,0.0019551654987366076
HTML,induction,raw,layer_09.head_11,layer_11.head_09,earlier_to_later,-0.006984031804789771,-0.01043911269785735,-0.004231224415101897
HTML,induction,raw,layer_09.head_11,layer_11.head_14,earlier_to_later,0.000977142249212314,-0.00015681638008101096,0.0026437783836132387
HTML,induction,raw,layer_09.head_11,layer_11.head_15,earlier_to_later,0.0026718847911684695,0.0013990636502337179,0.004121416097206826
HTML,induction,raw,layer_09.head_11,layer_12.head_02,earlier_to_later,0.0033382543056612785,0.0022470552182903866,0.004700223950551957
HTML,induction,raw,layer_09.head_11,layer_12.head_03,earlier_to_later,0.007316062195694332,0.0051042243129302365,0.009858975142188463
HTML,induction,raw,layer_09.head_11,layer_12.head_12,earlier_to_later,0.005666276450921288,0.003972924012617024,0.00758505570529468
HTML,induction,raw,layer_09.head_13,layer_09.head_04,within_layer,0.0018453354030814012,0.0008758699537928174,0.0031702569892235796
HTML,induction,raw,layer_09.head_13,layer_09.head_11,within_layer,-0.00011668334983358129,-0.0006517505213341642,0.0004931569082626833
HTML,induction,raw,layer_09.head_13,layer_09.head_13,identity,0.0071514033806937185,0.005036380986569433,0.009565766985463358
HTML,induction,raw,layer_09.head_13,layer_10.head_02,earlier_to_later,0.00046569446962666563,-0.0007613133888223692,0.0014601400439118396
HTML,induction,raw,layer_09.head_13,layer_10.head_12,earlier_to_later,0.00033089334005784437,-0.0011925763629794845,0.0016802610141461484
HTML,induction,raw,layer_09.head_13,layer_11.head_08,earlier_to_later,-0.006530498584574431,-0.009367193038388242,-0.004299049743610439
HTML,induction,raw,layer_09.head_13,layer_11.head_09,earlier_to_later,-0.002840826305297324,-0.005013588247496769,-0.0015152572312122964
HTML,induction,raw,layer_09.head_13,layer_11.head_14,earlier_to_later,-0.0026975983014330424,-0.0037607015723944625,-0.001710883884244069
HTML,induction,raw,layer_09.head_13,layer_11.head_15,earlier_to_later,0.002949746541482005,0.0018539819624877178,0.004554094896496458
HTML,induction,raw,layer_09.head_13,layer_12.head_02,earlier_to_later,0.0036161737742919065,0.0027140639793253422,0.004521679405741313
HTML,induction,raw,layer_09.head_13,layer_12.head_03,earlier_to_later,-0.002205688172183102,-0.0034289090866526173,-0.0013297385343351096
HTML,induction,raw,layer_09.head_13,layer_12.head_12,earlier_to_later,0.0008472529484280386,0.00029370450188699794,0.0015855384034669847
HTML,induction,raw,layer_10.head_02,layer_09.head_04,later_to_earlier,0.0017171834236416007,-0.00031961938903564543,0.004361436921485586
HTML,induction,raw,layer_10.head_02,layer_09.head_11,later_to_earlier,0.00489858243077313,0.0020126823333025978,0.008519841022152709
HTML,induction,raw,layer_10.head_02,layer_09.head_13,later_to_earlier,0.004553126759312925,0.002816895468856817,0.006694944016493129
HTML,induction,raw,layer_10.head_02,layer_10.head_02,identity,0.03139185561559811,0.022114053523928943,0.04190961272709095
HTML,induction,raw,layer_10.head_02,layer_10.head_12,within_layer,0.0027731342630115978,0.00109974169030233,0.004729083092120847
