concept,direction,estimand,source_id,destination_id,source_role,destination_role,route_class,estimate,ci_low,ci_high,sign_flip_p,bh_q
deception,induction,absolute,layer_09.head_04,layer_09.head_04,selected,selected,identity,0.0028242134550617174,0.0004056034123313433,0.00542265716609491,nan,nan
deception,induction,conditional,layer_09.head_04,layer_09.head_04,selected,selected,identity,0.0027691673245956758,0.0003987423725631776,0.005249849377255873,0.04789521047895211,0.08497800526695796
deception,induction,same_condition_mismatch,layer_09.head_04,layer_09.head_04,selected,selected,identity,5.5046130466041516e-05,-0.0003661019651156935,0.0004865422952061901,nan,nan
deception,rescue,absolute,layer_09.head_04,layer_09.head_04,selected,selected,identity,0.0018150413888567913,0.0008814688510327557,0.0028613444779233004,nan,nan
deception,rescue,conditional,layer_09.head_04,layer_09.head_04,selected,selected,identity,0.0017439432929165213,0.0008091056150413929,0.0028619280223295194,9.999000099990002e-05,0.0007479771503369144
deception,rescue,same_condition_mismatch,layer_09.head_04,layer_09.head_04,selected,selected,identity,7.109809594026984e-05,-0.0001753169537836747,0.0003164133756031592,nan,nan
deception,induction,delta,layer_09.head_04,layer_09.head_04,selected,selected,identity,0.0028242134550617174,0.0004056034123313433,0.00542265716609491,0.047795220477952205,0.06952032069520321
deception,induction,delta_rms,layer_09.head_04,layer_09.head_04,selected,selected,identity,0.0028242134550617174,0.0004056034123313433,0.00542265716609491,0.047795220477952205,0.07244749209289597
deception,rescue,delta,layer_09.head_04,layer_09.head_04,selected,selected,identity,0.0018150413888567913,0.0008814688510327557,0.0028613444779233004,9.999000099990002e-05,0.00030635234348905537
deception,rescue,delta_rms,layer_09.head_04,layer_09.head_04,selected,selected,identity,0.0018150413888567913,0.0008814688510327557,0.0028613444779233004,9.999000099990002e-05,0.00034282286057108575
deception,induction,absolute,layer_09.head_11,layer_09.head_04,selected,selected,within_layer,-0.027372487556728206,-0.03972700631754157,-0.0160304212199343,nan,nan
deception,induction,conditional,layer_09.head_11,layer_09.head_04,selected,selected,within_layer,0.003502319797029807,0.0013542909468049352,0.005852673898043978,0.0081991800819918,0.019678032196780323
deception,induction,same_condition_mismatch,layer_09.head_11,layer_09.head_04,selected,selected,within_layer,-0.030874807353758013,-0.04399941073368983,-0.01900035404350073,nan,nan
deception,rescue,absolute,layer_09.head_11,layer_09.head_04,selected,selected,within_layer,0.004756612024689042,0.0009584544972035192,0.009531041569182977,nan,nan
deception,rescue,conditional,layer_09.head_11,layer_09.head_04,selected,selected,within_layer,-0.0012453171574204303,-0.0031417909791951327,0.0002533096192538734,0.21357864213578642,0.3534867143658127
deception,rescue,same_condition_mismatch,layer_09.head_11,layer_09.head_04,selected,selected,within_layer,0.006001929182109473,0.0012868234532534017,0.011953317088412387,nan,nan
deception,induction,delta,layer_09.head_11,layer_09.head_04,selected,selected,within_layer,0.004067351562923709,0.0014311912661106167,0.006919555100425001,0.0124987501249875,0.020687586413772413
deception,induction,delta_rms,layer_09.head_11,layer_09.head_04,selected,selected,within_layer,0.0014039882029773508,-4.0367755307661584e-05,0.0029218002178679056,0.08449155084491551,0.11998800119988001
deception,rescue,delta,layer_09.head_11,layer_09.head_04,selected,selected,within_layer,-0.001276102750870252,-0.0033052852800033042,0.0004124536319489691,0.23507649235076492,0.31934919715575616
deception,rescue,delta_rms,layer_09.head_11,layer_09.head_04,selected,selected,within_layer,-0.00045417265410999276,-0.0013826569222052901,0.0002727087383086551,0.3544645535446455,0.45361835497866143
deception,induction,absolute,layer_09.head_13,layer_09.head_04,selected,selected,within_layer,-0.02460224328499788,-0.036273904538687285,-0.014615700755993881,nan,nan
deception,induction,conditional,layer_09.head_13,layer_09.head_04,selected,selected,within_layer,-0.001858981311642704,-0.0037953368661509026,0.0002424756962820155,0.09599040095990401,0.1502458449807193
deception,induction,same_condition_mismatch,layer_09.head_13,layer_09.head_04,selected,selected,within_layer,-0.022743261973355175,-0.03502856689750668,-0.012352980209502921,nan,nan
deception,rescue,absolute,layer_09.head_13,layer_09.head_04,selected,selected,within_layer,0.008380105001794078,0.0007047056640960945,0.016828262237578395,nan,nan
deception,rescue,conditional,layer_09.head_13,layer_09.head_04,selected,selected,within_layer,0.0006210668475711141,-0.00022769405208400512,0.0017362194737451473,0.27677232276772323,0.42832821275513194
deception,rescue,same_condition_mismatch,layer_09.head_13,layer_09.head_04,selected,selected,within_layer,0.007759038154222964,-0.0005373074785662607,0.016640070831881654,nan,nan
deception,induction,delta,layer_09.head_13,layer_09.head_04,selected,selected,within_layer,-0.0014825127555915321,-0.003886217075914794,0.0011068238490537891,0.2676732326767323,0.32944397867905517
deception,induction,delta_rms,layer_09.head_13,layer_09.head_04,selected,selected,within_layer,-0.0009505349825226268,-0.00275335335413229,0.0008564835872886117,0.33186681331866813,0.4119725958438639
deception,rescue,delta,layer_09.head_13,layer_09.head_04,selected,selected,within_layer,0.00035674317122267533,-0.0003617076632810635,0.0010365057874084824,0.35176482351764826,0.4482666777570031
deception,rescue,delta_rms,layer_09.head_13,layer_09.head_04,selected,selected,within_layer,0.00026741765794148823,-0.00025167352096677856,0.0008121627064695651,0.35596440355964404,0.45361835497866143
deception,induction,absolute,layer_10.head_02,layer_09.head_04,selected,selected,later_to_earlier,-0.0314718112922783,-0.044559755144184754,-0.019506827262406184,nan,nan
deception,induction,conditional,layer_10.head_02,layer_09.head_04,selected,selected,later_to_earlier,-0.006142545849305063,-0.00933687443603828,-0.003351104230587711,0.0005999400059994001,0.002120033395433463
deception,induction,same_condition_mismatch,layer_10.head_02,layer_09.head_04,selected,selected,later_to_earlier,-0.02532926544297324,-0.03752054097272253,-0.014470513253700084,nan,nan
deception,rescue,absolute,layer_10.head_02,layer_09.head_04,selected,selected,later_to_earlier,0.004150176903805898,0.0017484130808590025,0.007163955596997065,nan,nan
deception,rescue,conditional,layer_10.head_02,layer_09.head_04,selected,selected,later_to_earlier,0.00047396346600862827,-0.00023258660299391368,0.0011781143788287323,0.21677832216778323,0.35675518162469466
deception,rescue,same_condition_mismatch,layer_10.head_02,layer_09.head_04,selected,selected,later_to_earlier,0.00367621343779727,0.0015927310089754892,0.006291732968602424,nan,nan
deception,induction,delta,layer_10.head_02,layer_09.head_04,selected,selected,later_to_earlier,-0.006142448388025909,-0.009605429740026355,-0.0031327494488638872,0.0010998900109989002,0.002169646049093721
deception,induction,delta_rms,layer_10.head_02,layer_09.head_04,selected,selected,later_to_earlier,-0.0031082643531553395,-0.005317744274682244,-0.0009952010669763611,0.0131986801319868,0.022100115569838364
deception,rescue,delta,layer_10.head_02,layer_09.head_04,selected,selected,later_to_earlier,0.000225286403300121,-0.0005101705717250241,0.0010266564416406652,0.6122387761223878,0.6887686231376862
deception,rescue,delta_rms,layer_10.head_02,layer_09.head_04,selected,selected,later_to_earlier,0.00030912938412987705,-9.489582628355985e-05,0.0007822004116080299,0.23047695230476953,0.3167683231676833
deception,induction,absolute,layer_10.head_12,layer_09.head_04,selected,selected,later_to_earlier,-0.02545209102002676,-0.0337506578116878,-0.017793158540930797,nan,nan
deception,induction,conditional,layer_10.head_12,layer_09.head_04,selected,selected,later_to_earlier,-0.008624777421944166,-0.012291160836391824,-0.005447630470288153,9.999000099990002e-05,0.00048808678454188484
deception,induction,same_condition_mismatch,layer_10.head_12,layer_09.head_04,selected,selected,later_to_earlier,-0.016827313598082597,-0.02301686876568392,-0.01124599934646995,nan,nan
deception,rescue,absolute,layer_10.head_12,layer_09.head_04,selected,selected,later_to_earlier,0.000457168393972239,-0.0006212060081371014,0.0016323161977759937,nan,nan
deception,rescue,conditional,layer_10.head_12,layer_09.head_04,selected,selected,later_to_earlier,-0.004551946255642137,-0.007241387540858363,-0.0021880533066332133,0.0010998900109989002,0.005759424057594241
deception,rescue,same_condition_mismatch,layer_10.head_12,layer_09.head_04,selected,selected,later_to_earlier,0.005009114649614376,0.0026322449064852204,0.007772881705285214,nan,nan
deception,induction,delta,layer_10.head_12,layer_09.head_04,selected,selected,later_to_earlier,-0.008523018100379727,-0.011710316768050497,-0.005586462689507766,9.999000099990002e-05,0.00028232470870560004
deception,induction,delta_rms,layer_10.head_12,layer_09.head_04,selected,selected,later_to_earlier,-0.005056232685729381,-0.007369962118566182,-0.0029453776851007083,9.999000099990002e-05,0.00026179200261792004
deception,rescue,delta,layer_10.head_12,layer_09.head_04,selected,selected,later_to_earlier,-0.004111916332432055,-0.006464345647095351,-0.0020266378426797237,9.999000099990002e-05,0.00030635234348905537
