concept,direction,estimand,group_type,group_id,pair_count,estimate,ci_low,ci_high
deception,rescue,conditional,role_factorial,null_to_null,132,-5.001612798527918e-05,-9.230472721956896e-05,-1.2731974161955949e-05
deception,rescue,conditional,role_factorial,null_to_selected,144,-0.00012646386988714195,-0.0002066015392083261,-5.595003361390756e-05
deception,rescue,conditional,role_factorial,selected_to_null,144,-0.0001752328528774151,-0.00027542913930038806,-9.044579279627243e-05
deception,rescue,conditional,role_factorial,selected_to_selected,132,0.002331038084132481,0.0013522589402648155,0.003394329166975367
deception,rescue,conditional,selected_route_class,earlier_to_later,53,0.0006859985732324563,0.00036080707739525263,0.001076232688969819
deception,rescue,conditional,selected_route_class,identity,12,0.021471591910254263,0.013133805203987006,0.030658934185752825
deception,rescue,conditional,selected_route_class,later_to_earlier,53,0.0018182537976125827,0.0009381776781385469,0.0028011523564665016
deception,rescue,conditional,selected_route_class,within_layer,26,0.006729678901950017,0.004023228923854653,0.009662407252701705
deception,rescue,conditional,selected_selected_contrast,selected_to_selected-minus-selected_to_null,132,0.0025062709370098964,0.0014751441403412847,0.003611002559807007
deception,rescue,conditional,selected_selected_contrast,selected_to_selected-minus-null_to_selected,132,0.0024575019540196232,0.0014302140434178023,0.0035834890255844647
deception,rescue,conditional,selected_selected_contrast,selected_to_selected-minus-null_to_null,132,0.0023810542121177605,0.001379870575986322,0.003473580506474312
deception,rescue,delta,role_factorial,selected_to_selected,132,0.002420875482745778,0.0014312066910553798,0.0035160503692588823
deception,rescue,delta,selected_route_class,earlier_to_later,53,0.0005741857118885796,0.0003114299774169156,0.0008843841982742255
deception,rescue,delta,selected_route_class,identity,12,0.021468212573845735,0.01315402260200503,0.0305992916448006
deception,rescue,delta,selected_route_class,later_to_earlier,53,0.0016579683738115413,0.0008419584082422687,0.002583181636576639
deception,rescue,delta,selected_route_class,within_layer,26,0.007740438353089859,0.0046172849861337495,0.011155161974889027
