panel,scope,concept,direction,estimand,source_role,mapping_id,estimate,ci_low,ci_high
C,mapping,harmful,rescue,delta,null,within_15004,-0.0221980742055,-0.0270911103423,-0.0173587866015
C,mapping,harmful,rescue,delta,null,cross_15130,-0.0582942519033,-0.0658312047319,-0.051564117314
C,mapping,harmful,rescue,delta,null,cross_15122,0.0523697696422,0.0471973827617,0.0576057930984
A,population,harmful,rescue,delta,null,mean_of_four_benign_selected_mappings,-0.0253838037775,-0.0287420326912,-0.0222180294118
B,contrast,harmful,rescue,delta,selected_minus_null,mean_of_four_route_matched_contrasts,0.18969815174,0.175445539496,0.203869229642
C,mapping,harmful,induction,conditional,selected,within_15015,0.252730671456,0.2294786544,0.277008359611
C,mapping,harmful,induction,conditional,selected,within_15004,0.236794274907,0.21493110318,0.257980804572
C,mapping,harmful,induction,conditional,selected,cross_15130,0.117244014783,0.0977332265547,0.134606586993
C,mapping,harmful,induction,conditional,selected,cross_15122,-0.0670060498355,-0.090481226168,-0.0455986258879
A,population,harmful,induction,conditional,selected,mean_of_four_benign_selected_mappings,0.134940727828,0.120529195014,0.148116170473
C,mapping,harmful,induction,conditional,null,within_15015,-0.111458775072,-0.121010415608,-0.102865675328
C,mapping,harmful,induction,conditional,null,within_15004,-0.0153059960391,-0.0213564183514,-0.00942619465802
C,mapping,harmful,induction,conditional,null,cross_15130,-0.0592835371899,-0.0661939299106,-0.0529768883337
C,mapping,harmful,induction,conditional,null,cross_15122,0.0550120944779,0.0475135237789,0.0627782477541
A,population,harmful,induction,conditional,null,mean_of_four_benign_selected_mappings,-0.0327590534558,-0.0367873795136,-0.0291148140035
B,contrast,harmful,induction,conditional,selected_minus_null,mean_of_four_route_matched_contrasts,0.167699781284,0.152862611327,0.181576687484
C,mapping,harmful,induction,delta,selected,within_15015,0.174684084206,0.153329050329,0.196745692678
C,mapping,harmful,induction,delta,selected,within_15004,0.155154335187,0.135532696211,0.174570677193
C,mapping,harmful,induction,delta,selected,cross_15130,0.0736634448359,0.0633262130829,0.0841805917101
C,mapping,harmful,induction,delta,selected,cross_15122,-0.0318033293496,-0.0442372356227,-0.0204111716501
A,population,harmful,induction,delta,selected,mean_of_four_benign_selected_mappings,0.0929246337198,0.0817811851927,0.103837241879
C,mapping,harmful,induction,delta,null,within_15015,-0.0493091868463,-0.0563033336889,-0.0430865835829
C,mapping,harmful,induction,delta,null,within_15004,-0.00433255750316,-0.00737309691607,-0.00116683135301
C,mapping,harmful,induction,delta,null,cross_15130,-0.0233436683345,-0.0279172821996,-0.0193048511103
C,mapping,harmful,induction,delta,null,cross_15122,0.039924509799,0.035193055316,0.0451666643501
A,population,harmful,induction,delta,null,mean_of_four_benign_selected_mappings,-0.00926522572123,-0.0114218966977,-0.00726156784765
B,contrast,harmful,induction,delta,selected_minus_null,mean_of_four_route_matched_contrasts,0.102189859441,0.0903642075701,0.114119107152
