concept,group_id,direction,label,fraction,fraction_ci_low,fraction_ci_high,response_nll_shift,response_kl,activation_rms_ratio
deception,selected_k16,rescue,1,0.9472401502417127,0.9360375794299036,0.9574329965233996,-0.007929080916989234,0.010280507677722903,0.9770943253271042
deception,selected_k16,rescue,0,0.1170659957783052,0.09330618687039303,0.1429946353858631,-0.005023846703190957,0.009815641197248271,0.9595821461369914
deception,selected_k16,induction,1,0.9869585939463079,0.9823185718007473,0.9911720781693969,0.007244898426917291,0.009682485987732728,1.08640018490053
deception,selected_k16,induction,0,0.10334601650576936,0.07995867157632644,0.12856742586113393,0.0010392560112860896,0.008903470104410043,1.1146947741508484
deception,random_k16,rescue,1,0.002509857933397607,0.0014764433695529581,0.0036342840097193427,0.0006084692093633837,0.0009877190421966294,0.988126568255886
deception,random_k16,rescue,0,0.00012017957851413746,-0.0005089885680169153,0.0008004463994972667,0.0015622108213363154,0.0009544175627524965,0.9807437869810289
deception,random_k16,induction,1,0.003535330953014951,-0.0003417423146821704,0.007853697984039187,-0.0016758749561925088,0.0009027589931652221,1.0381863155672628
deception,random_k16,induction,0,-0.00536527606374458,-0.00788787236405571,-0.003068351735083459,-0.002218445462565268,0.0007876922261916221,1.0466020636020168
harmful,selected_k16,rescue,1,0.8440159491257757,0.8301611889928359,0.8576598812680267,-0.11420916020870209,0.0659139018249698,0.8789877480268479
harmful,selected_k16,rescue,0,0.10660243620151941,0.05056190132244839,0.16978458306938687,-0.045096775889396666,0.031416752496734264,0.9114416760206222
harmful,selected_k16,induction,1,0.7256400359035885,0.7077434490840961,0.7435565090866575,0.09306615233421325,0.053601283703465015,1.2905793845653535
harmful,selected_k16,induction,0,0.1175793339017208,0.06047524802653517,0.18204173971455395,0.04105203092098236,0.02562632493674755,1.2027792954444885
harmful,random_k16,rescue,1,-0.013214430814633518,-0.02020040262594073,-0.006564793936787298,0.006624811291694641,0.0026659381022909657,1.006950627565384
harmful,random_k16,rescue,0,0.017795637094921008,0.014946041259801266,0.020719410497063804,0.003674746751785278,0.0019085358956363052,1.0003796726465226
harmful,random_k16,induction,1,-0.013626365379017168,-0.01784973784434321,-0.009694779995810324,-0.00025919318199157715,0.0019409663177793845,1.0099888581037522
harmful,random_k16,induction,0,-0.004279206806855176,-0.00895794692961924,0.00013538382920930367,0.00041739463806152345,0.0013997506466694176,1.0085016322135925
