split_role,concept,mapping_id,mapping_class,direction,estimate,ci_low,ci_high
development,HTML,within_15001,within_layer,induction,0.13866493618206788,0.1026262246131591,0.17364321722271148
development,HTML,within_15001,within_layer,rescue,0.38169488351758024,0.3559926991845571,0.4064263126935713
development,HTML,within_15002,within_layer,induction,0.14681775131900324,0.1129598551837643,0.179951376139175
development,HTML,within_15002,within_layer,rescue,0.433575338188234,0.4117635102943649,0.45509592904171586
development,HTML,within_15003,within_layer,induction,0.13503354951565388,0.10641930495742817,0.163082347108924
development,HTML,within_15003,within_layer,rescue,0.4269617159293729,0.40384093649452696,0.450175996161866
development,HTML,within_15004,within_layer,induction,0.36465820521087644,0.2986826463264731,0.42970877874289304
development,HTML,within_15004,within_layer,rescue,0.7821231341051351,0.7484914588366831,0.8100552251587696
development,HTML,within_15005,within_layer,induction,0.10039336095965105,0.07959971860224524,0.12153403012859594
development,HTML,within_15005,within_layer,rescue,0.29854401521938795,0.2773453830186331,0.32000881520685504
development,HTML,within_15006,within_layer,induction,0.08902130168430558,0.06848912988640748,0.10866796167943565
development,HTML,within_15006,within_layer,rescue,0.27824663122754345,0.25541823306912814,0.302349887398569
development,HTML,within_15007,within_layer,induction,0.013007137895907647,0.0063295727559209815,0.01903093828088964
development,HTML,within_15007,within_layer,rescue,0.028633587259378254,0.01998130995820017,0.03721302698098523
development,HTML,within_15008,within_layer,induction,0.06470945379800516,0.05089375573736715,0.07787475325261227
development,HTML,within_15008,within_layer,rescue,0.2148958938151474,0.18535880115917394,0.24442362787209698
development,HTML,within_15009,within_layer,induction,0.005001695518398923,-0.00346903587716364,0.011416742022003672
development,HTML,within_15009,within_layer,rescue,-0.022017081907855725,-0.03531956335878593,-0.010700863214723907
development,HTML,within_15010,within_layer,induction,0.01290326843564869,0.0050512263688576465,0.019597592206585097
development,HTML,within_15010,within_layer,rescue,0.030978412981166926,0.022492011431933603,0.03909178324271009
development,HTML,within_15011,within_layer,induction,0.01774463455516722,0.00944209363030069,0.025326006922802884
development,HTML,within_15011,within_layer,rescue,0.030956197092066467,0.02280777435491591,0.03903794799039269
development,HTML,within_15012,within_layer,induction,0.017603986507961675,0.00885561779872485,0.02543154449198236
development,HTML,within_15012,within_layer,rescue,0.03521412080913354,0.02649555676992244,0.0440188042242789
development,HTML,within_15013,within_layer,induction,0.0016979327448880615,-0.00635449214342425,0.007714430754342486
development,HTML,within_15013,within_layer,rescue,-0.027865620917025657,-0.04220877448873508,-0.014501802418209676
development,HTML,within_15014,within_layer,induction,0.09952778412735075,0.07920798897691235,0.11976412106552688
development,HTML,within_15014,within_layer,rescue,0.3621663342513913,0.33144448865296855,0.3921243040367759
development,HTML,within_15015,within_layer,induction,0.28200140194023965,0.2359052448886511,0.3274139098603752
development,HTML,within_15015,within_layer,rescue,0.7528534545739852,0.7141952609754801,0.7899345229234476
development,HTML,within_15016,within_layer,induction,0.09934183591864139,0.0747760036085496,0.12310750927618085
development,HTML,within_15016,within_layer,rescue,0.27405296487010483,0.2550947943118115,0.29472913495968805
development,HTML,within_15017,within_layer,induction,0.34232771355272795,0.28464706759963787,0.4002408024548616
development,HTML,within_15017,within_layer,rescue,0.7878004558714866,0.75380483998478,0.8167884487345399
development,HTML,within_15018,within_layer,induction,0.0017533109603640098,-0.00684878423115689,0.008193270445180798
development,HTML,within_15018,within_layer,rescue,-0.022412292463846233,-0.03568795457533771,-0.010545515983492638
development,HTML,within_15019,within_layer,induction,0.012937510982776412,0.00545367000138271,0.01938657701331781
development,HTML,within_15019,within_layer,rescue,0.026533867983211074,0.017802808406673743,0.03479691122163674
development,HTML,within_15020,within_layer,induction,0.10998265034763705,0.08525087027670714,0.13441310918688587
development,HTML,within_15020,within_layer,rescue,0.3088269745983506,0.2902932150532187,0.32808203873990666
development,HTML,within_15021,within_layer,induction,0.07040496053234697,0.05625781124254838,0.08534454800038675
development,HTML,within_15021,within_layer,rescue,0.24522458331051636,0.2166881374896635,0.2737679276650456
development,HTML,within_15022,within_layer,induction,0.09744034691606462,0.07507896998334075,0.11936245989499314
development,HTML,within_15022,within_layer,rescue,0.3247592962051405,0.2931654020827922,0.35549490976573994
development,HTML,within_15023,within_layer,induction,0.005001683499252862,-0.0039885559158541126,0.011836256537617646
development,HTML,within_15023,within_layer,rescue,-0.016862224908808524,-0.029847382927282756,-0.006440667733634801
development,HTML,within_15024,within_layer,induction,0.005028702539597937,-0.003007319749209796,0.011292577306441289
development,HTML,within_15024,within_layer,rescue,-0.015108892914938906,-0.027502757527711405,-0.004944540985632896
development,HTML,within_15025,within_layer,induction,0.0017047175528394827,-0.007593300379253574,0.008605879573217448
development,HTML,within_15025,within_layer,rescue,-0.02502655589006358,-0.03869248031064431,-0.01312893721314145
