scope,concept,direction,estimand,source_role,mapping_id,estimate,ci_low,ci_high
mapping,deception,induction,same_condition_mismatch,selected,cross_15130,0.6096539057610513,0.5580162742214289,0.6612712972570426
mapping,deception,induction,same_condition_mismatch,selected,cross_15122,0.757898636598187,0.6996709524906203,0.8111353911357768
population,deception,induction,same_condition_mismatch,selected,mean_of_four_benign_selected_mappings,0.5409853946939183,0.4985619758257693,0.5826505030786326
mapping,deception,induction,same_condition_mismatch,null,within_15015,0.7745923264049237,0.7247311215266874,0.8228921132999435
mapping,deception,induction,same_condition_mismatch,null,within_15004,0.7034150219863412,0.6502687635503651,0.7560244612601701
mapping,deception,induction,same_condition_mismatch,null,cross_15130,0.7462355686070535,0.6970561974684518,0.7948562145825657
mapping,deception,induction,same_condition_mismatch,null,cross_15122,0.7916280613126303,0.7441657206640889,0.8376678217956884
population,deception,induction,same_condition_mismatch,null,mean_of_four_benign_selected_mappings,0.7539677445777372,0.7053685897611407,0.8014033710782515
contrast,deception,induction,same_condition_mismatch,selected_minus_null,mean_of_four_route_matched_contrasts,-0.21298234988381898,-0.23947839727031642,-0.1876723456251064
mapping,deception,induction,conditional,selected,within_15015,0.4880763135533059,0.44828264644374266,0.5274431865507583
mapping,deception,induction,conditional,selected,within_15004,0.6492861768797104,0.6102950948824549,0.6868793234750309
mapping,deception,induction,conditional,selected,cross_15130,0.17568941201338326,0.15631234045534162,0.19645535817833465
mapping,deception,induction,conditional,selected,cross_15122,-0.04351780077179856,-0.05580879800108517,-0.031427309705885566
population,deception,induction,conditional,selected,mean_of_four_benign_selected_mappings,0.3173835254186502,0.2958839245994586,0.33873565237488285
mapping,deception,induction,conditional,null,within_15015,-0.049086433769989335,-0.05839018236310447,-0.04063376998878351
mapping,deception,induction,conditional,null,within_15004,0.005274939503430477,-0.002884894544442807,0.012238802732104396
mapping,deception,induction,conditional,null,cross_15130,0.010912525471231099,0.005819750987657276,0.016321225691668884
mapping,deception,induction,conditional,null,cross_15122,-0.02110592766269464,-0.028645060746232406,-0.013691884696613857
population,deception,induction,conditional,null,mean_of_four_benign_selected_mappings,-0.0135012241145056,-0.01710597738709239,-0.010128482263810383
contrast,deception,induction,conditional,selected_minus_null,mean_of_four_route_matched_contrasts,0.33088474953315583,0.3080285643972893,0.35381307092183106
mapping,deception,induction,delta,selected,within_15015,0.6521796681861016,0.6003940304886333,0.703872467142389
mapping,deception,induction,delta,selected,within_15004,0.8084580300698735,0.7671596282641309,0.8463286873439517
mapping,deception,induction,delta,selected,cross_15130,0.09821081511365849,0.082205416169475,0.11673030068559322
mapping,deception,induction,delta,selected,cross_15122,-0.011911238819321424,-0.018893728790422604,-0.005985068053617674
population,deception,induction,delta,selected,mean_of_four_benign_selected_mappings,0.38673431863757807,0.36185285910871423,0.4103161364617904
mapping,deception,induction,delta,null,within_15015,-0.015241207996100802,-0.01964125629298111,-0.011459642356395489
