head_id,layer,scope,source_region,discovery_dominant_source_region,validation_confirmed,fraction,fraction_ci_low,fraction_ci_high
layer_11.head_08,11,discovery,monitoring_language,trigger_other,True,4.109449456781263e-05,-0.00011956838342409375,0.0002484116685543815
layer_11.head_08,11,discovery,named_concept,trigger_other,True,0.017529016786843744,0.016558961663288272,0.01853547636499222
layer_11.head_08,11,discovery,trigger_other,trigger_other,True,0.10528634309743508,0.07884811573863253,0.1368594967849697
layer_11.head_08,11,discovery,original_prompt,trigger_other,True,0.03578515667005081,0.029757642561306988,0.04168888699053752
layer_11.head_08,11,discovery,template,trigger_other,True,0.004265352376810904,0.0030930364292176427,0.005530979987042844
layer_11.head_08,11,discovery,response,trigger_other,True,0.04530671484470817,0.03851999949930286,0.0526021374188436
layer_11.head_08,11,validation,monitoring_language,trigger_other,True,4.55351858557015e-05,-0.0002328530652063472,0.0002666648325042887
layer_11.head_08,11,validation,named_concept,trigger_other,True,0.009586289722106036,0.008506593965378036,0.01061027074873845
layer_11.head_08,11,validation,trigger_other,trigger_other,True,0.06859106721037192,0.055112982115426215,0.08107285908517287
layer_11.head_08,11,validation,original_prompt,trigger_other,True,0.01771203920709415,0.0140223836777442,0.02151371570013699
layer_11.head_08,11,validation,template,trigger_other,True,0.0012630707116703013,0.00045027065371845877,0.0019434347287468142
layer_11.head_08,11,validation,response,trigger_other,True,0.01469482938045549,0.011338675185723908,0.017686624088130466
layer_10.head_12,10,discovery,monitoring_language,named_concept,True,0.00012421223356038897,5.517582263659928e-06,0.0002902994351964848
layer_10.head_12,10,discovery,named_concept,named_concept,True,0.15216617772415247,0.1278493162475981,0.17491638396445397
layer_10.head_12,10,discovery,trigger_other,named_concept,True,0.0006876068200808554,0.0004284399943010279,0.0009908372253810004
layer_10.head_12,10,discovery,original_prompt,named_concept,True,0.0013302555537269354,-0.0013966311739412368,0.003415418399444483
layer_10.head_12,10,discovery,template,named_concept,True,0.0003122347934364741,8.138352268309796e-05,0.0005315098530045358
layer_10.head_12,10,discovery,response,named_concept,True,0.0039266759866825995,0.0025110294260895236,0.00550427516851766
layer_10.head_12,10,validation,monitoring_language,named_concept,True,-0.0005617696050866504,-0.000992012259848153,-0.00022735569431810618
layer_10.head_12,10,validation,named_concept,named_concept,True,0.05212327745828948,0.04514769576757729,0.059270089862852274
layer_10.head_12,10,validation,trigger_other,named_concept,True,0.007375382507425575,0.006015871010962388,0.008995789797583486
layer_10.head_12,10,validation,original_prompt,named_concept,True,0.01024753764445124,0.006468590647779917,0.014208420262956014
layer_10.head_12,10,validation,template,named_concept,True,0.001599658819533888,0.0008409982993325866,0.0024248214387890673
layer_10.head_12,10,validation,response,named_concept,True,0.013723433230644235,0.01023988628144978,0.018140688914961105
layer_11.head_09,11,discovery,monitoring_language,trigger_other,True,3.0240954380103912e-05,-0.00013081128551603838,0.00023668682077048695
layer_11.head_09,11,discovery,named_concept,trigger_other,True,0.019650379209486927,0.01629333761070293,0.023243252101589867
layer_11.head_09,11,discovery,trigger_other,trigger_other,True,0.024180978371875012,0.01970137088392904,0.02901162200086542
layer_11.head_09,11,discovery,original_prompt,trigger_other,True,0.015720868407337083,0.011396931231456145,0.020870604088880456
layer_11.head_09,11,discovery,template,trigger_other,True,0.0016848992483025347,0.001042913903350126,0.002460071149496224
layer_11.head_09,11,discovery,response,trigger_other,True,0.01925690644258876,0.015771425256048417,0.022988201511519965
layer_11.head_09,11,validation,monitoring_language,trigger_other,True,2.798919169282027e-05,-0.00030522435560404967,0.0002942700216474328
layer_11.head_09,11,validation,named_concept,trigger_other,True,0.010176052760288651,0.009046865500847247,0.011391029811623642
layer_11.head_09,11,validation,trigger_other,trigger_other,True,0.02791680552620491,0.023813659565954846,0.0327598693170497
layer_11.head_09,11,validation,original_prompt,trigger_other,True,0.008498594013683402,0.00560506273796,0.011775663338944151
layer_11.head_09,11,validation,template,trigger_other,True,0.0001921011409387746,-0.00043966969986658727,0.00072210189565228
layer_11.head_09,11,validation,response,trigger_other,True,0.006932837064675226,0.0049455178061046205,0.008833285003677176
layer_10.head_02,10,discovery,monitoring_language,trigger_other,True,1.5079730763013777e-05,-0.00012791904260770826,0.0001573693036163127
layer_10.head_02,10,discovery,named_concept,trigger_other,True,-0.005386116336352552,-0.0064128588987623445,-0.004319543791869996
layer_10.head_02,10,discovery,trigger_other,trigger_other,True,0.03991246324689664,0.03513294889863145,0.04523536345885758
layer_10.head_02,10,discovery,original_prompt,trigger_other,True,0.0056669419034462865,0.004451174638978166,0.00697957823131874
layer_10.head_02,10,discovery,template,trigger_other,True,0.001229116226569537,0.0008834191665034758,0.0016611360392235666
layer_10.head_02,10,discovery,response,trigger_other,True,0.0045116287851890355,0.0036929045208997494,0.005249359757585198
layer_10.head_02,10,validation,monitoring_language,trigger_other,True,-0.00019035771436938937,-0.0004843194787736772,4.0883829688004025e-05
layer_10.head_02,10,validation,named_concept,trigger_other,True,0.006956376145023149,0.0061476472588604635,0.007943071236889192
layer_10.head_02,10,validation,trigger_other,trigger_other,True,0.0029486680321387697,0.0020682309605970736,0.003913000937552763
layer_10.head_02,10,validation,original_prompt,trigger_other,True,0.00719043305434996,0.005607066228655602,0.008799807578774205
layer_10.head_02,10,validation,template,trigger_other,True,0.00025627006905023223,-0.00010816147306501572,0.0006382422287659332
layer_10.head_02,10,validation,response,trigger_other,True,0.004966962956428899,0.003833315866576588,0.006144068249010107
layer_09.head_11,9,discovery,monitoring_language,named_concept,True,0.00012585271412209306,-2.8892442791043e-05,0.00037384343758038193
layer_09.head_11,9,discovery,named_concept,named_concept,True,0.011335403660234328,0.009645724042081711,0.013063582918301897
layer_09.head_11,9,discovery,trigger_other,named_concept,True,0.007570151280648091,0.005770107395507754,0.009566092776280037
layer_09.head_11,9,discovery,original_prompt,named_concept,True,0.007754550530570963,0.005787827966779157,0.010128840501223901
layer_09.head_11,9,discovery,template,named_concept,True,0.0014459763872157008,0.0008532550635684143,0.002148849588276117
layer_09.head_11,9,discovery,response,named_concept,True,0.008616913334200359,0.007503961341270315,0.009761912173927186
layer_09.head_11,9,validation,monitoring_language,named_concept,True,-0.00032733907535733317,-0.0006341959598745678,-9.30440343432365e-05
layer_09.head_11,9,validation,named_concept,named_concept,True,0.01451522790583654,0.01301047579707565,0.016218619050775596
layer_09.head_11,9,validation,trigger_other,named_concept,True,0.0037109951359417157,0.0028184786582132757,0.004592821048348297
layer_09.head_11,9,validation,original_prompt,named_concept,True,0.0009690779642029018,-0.0006683413659229083,0.00295483609441395
layer_09.head_11,9,validation,template,named_concept,True,0.0006660088320629136,-0.0003096280910113192,0.0015648197868869034
layer_09.head_11,9,validation,response,named_concept,True,0.0023075428979265023,0.0003879977061422352,0.004227153365375095
layer_12.head_12,12,discovery,monitoring_language,response,True,0.0005053687695041498,0.0003149407710364637,0.0007168503452481054
layer_12.head_12,12,discovery,named_concept,response,True,0.004095122693444391,0.0016677420196435475,0.006722283100473288
layer_12.head_12,12,discovery,trigger_other,response,True,-0.0027629867875015516,-0.004030540486414238,-0.0010742959835033136
layer_12.head_12,12,discovery,original_prompt,response,True,0.0035533439688677834,0.002486336589918718,0.00487819146643847
layer_12.head_12,12,discovery,template,response,True,0.001193322338050871,0.0009042243374375118,0.0014914468216593241
layer_12.head_12,12,discovery,response,response,True,0.025255939616370817,0.022086066122690512,0.02930751288784994
layer_12.head_12,12,validation,monitoring_language,response,True,0.00312262704200218,0.001683201348297368,0.00486374437557248
layer_12.head_12,12,validation,named_concept,response,True,0.003957289769995967,0.002030444437075622,0.00671316323068677
layer_12.head_12,12,validation,trigger_other,response,True,0.008507981383504584,0.00724638990620553,0.009955394265960408
layer_12.head_12,12,validation,original_prompt,response,True,0.0021458584975935263,0.0013493226473116876,0.0031116894810746696
layer_12.head_12,12,validation,template,response,True,0.0011578578299518965,0.0007174112238355932,0.00158048889595667
layer_12.head_12,12,validation,response,response,True,0.04020505605690678,0.03439201551278258,0.04577393092724267
layer_12.head_03,12,discovery,monitoring_language,response,True,9.7166645278504e-05,-6.562047688244883e-05,0.00031408221030416344
layer_12.head_03,12,discovery,named_concept,response,True,0.002102600837620944,0.0017197047301147639,0.002615963316355653
layer_12.head_03,12,discovery,trigger_other,response,True,0.005506449567029708,0.004554302086682479,0.006535146187503767
layer_12.head_03,12,discovery,original_prompt,response,True,0.0036713422397669344,0.0026599234875365543,0.004975817964146345
layer_12.head_03,12,discovery,template,response,True,0.0003262205507602678,-1.8327595130066937e-05,0.0006712586525150414
layer_12.head_03,12,discovery,response,response,True,0.018338312850957904,0.015608616363719432,0.021026176912735332
layer_12.head_03,12,validation,monitoring_language,response,True,9.894753987052852e-05,-0.00017188592125264468,0.00032462927264102195
layer_12.head_03,12,validation,named_concept,response,True,0.003263186891928073,0.002668675798194256,0.003929285138200032
layer_12.head_03,12,validation,trigger_other,response,True,0.008675486441926025,0.006968506839615821,0.010781764254231585
layer_12.head_03,12,validation,original_prompt,response,True,0.0022623913907776007,0.0013268811673489225,0.0030858548853088586
layer_12.head_03,12,validation,template,response,True,0.00135902858927008,0.0008418835736241234,0.0018697445821812006
layer_12.head_03,12,validation,response,response,True,0.012330587577753375,0.010784148495625869,0.013915131675667882
layer_09.head_04,9,discovery,monitoring_language,named_concept,True,-1.7490498427276662e-05,-0.00013086209392705784,0.00015538282560596304
