concept,direction,mapping_id,source_role,normalized_probe_effect_estimate,normalized_probe_effect_ci_low,normalized_probe_effect_ci_high,directional_coefficient_estimate,directional_coefficient_ci_low,directional_coefficient_ci_high,directional_cosine_estimate,directional_cosine_ci_low,directional_cosine_ci_high,kl_from_base_estimate,kl_from_base_ci_low,kl_from_base_ci_high,nll_shift_from_base_estimate,nll_shift_from_base_ci_low,nll_shift_from_base_ci_high,top1_agreement_estimate,top1_agreement_ci_low,top1_agreement_ci_high
deception,induction,within_15015,selected,0.6480247137205752,0.6068079823239261,0.6889233118087831,0.03512994269840419,0.029215883079544463,0.041264867018382514,0.16725742949112768,0.14377953074572067,0.18927880516200657,0.0029899908169623342,0.0023120325808356997,0.004026755191162303,0.004065861625056113,-0.0036857477599574672,0.011913541776518667,0.959793399418554,0.9445973112698525,0.9740545709767648
deception,induction,within_15015,null,-0.015281113845081037,-0.019346205693768173,-0.011441574180927259,0.0022264463787582973,0.001194894490618026,0.0032957264906144684,0.024591269756426976,0.01240898690546953,0.03702683458705583,0.0006136279039163773,0.0005550739026852346,0.0006761766980308757,-0.0022445436446897446,-0.005406905302116947,0.0009271694287177054,0.9901209771633148,0.9812436227356234,0.9973534403308746
deception,induction,within_15004,selected,0.8066169931505894,0.7753220776187385,0.8367060290452142,0.04045569144129273,0.03529564450361631,0.04591922917930905,0.19149407768441784,0.17157271220123455,0.21112255085890572,0.003330931773469333,0.0026521257616320417,0.004280998279160309,-0.008625002637986214,-0.015156341223947463,-0.0020625313683863616,0.9709410782783262,0.958313807532672,0.9822884420233388
deception,induction,within_15004,null,-0.0009771754821404845,-0.0037001877794872297,0.0017856542427722158,0.005549253048581792,0.004408949263703225,0.006634587294930469,0.06900054989607944,0.05596099282716281,0.08180699568643655,0.0006232787977017822,0.0005499153954470756,0.0007038005176230311,-0.004984149048405309,-0.008062580107681213,-0.0021099079039789024,0.9872601272598389,0.977031143466311,0.9956140354996728
deception,induction,cross_15130,selected,0.1047782843434026,0.08827739629933556,0.12283524187190824,0.00909295514101095,0.0065223550556355245,0.011742594446367284,0.05708965796023427,0.04139031625555588,0.07272359986457178,0.00199977146703825,0.0016052933138604615,0.002492634414574563,-0.005035028342277773,-0.010536506099085654,0.0006416419340718138,0.9741723739331768,0.9622626071735736,0.985254638690141
deception,induction,cross_15130,null,0.012454019294348072,0.009391549684963947,0.015652621927749594,0.0019317140186397028,0.0006940929445502867,0.0031965447942286936,0.021064020667014825,0.007204945825111692,0.0345697129598721,0.0006297926760335911,0.0005541363824308534,0.0007144492442714709,-0.0016802597430444534,-0.0046443352776189,0.0012436207023359108,0.987323377401598,0.9781932371998987,0.9949634032864725
deception,induction,cross_15122,selected,-0.014708906713673654,-0.022005400292566257,-0.008200872480227687,0.004896517470291245,0.0021365969830038655,0.007732427029447036,0.028116521797323178,0.01118832828285503,0.045237900831665276,0.0017499068555715043,0.0015059559804813621,0.002012594296977641,-0.007331293436788743,-0.011662206582484706,-0.002893220128551606,0.9835718514457825,0.9726263503874503,0.9931504844177154
deception,induction,cross_15122,null,0.0019937581323740228,-0.000892152365673138,0.0048988993188855915,0.006797655911800722,0.005635496025628997,0.007951365987302719,0.07952923629613172,0.06740742496763084,0.09109048789982954,0.0006046948671404783,0.000542407191020292,0.0006701239881177541,-0.004791927914465627,-0.007319805146225037,-0.0022789858041271094,0.9935059432060488,0.9873655928719428,0.9986559142989497
deception,induction,selected_k12_identity,identity,0.990022142748896,0.9855340451793696,0.9943278946712778,0.0985770428613309,0.08790024183990974,0.10945036208046781,0.3439032850005934,0.3215454498245831,0.36620988016046824,0.005936148179311966,0.004633908502963154,0.007654457226383402,0.0005620612252143121,-0.007946212301331182,0.009232543216597647,0.952684453418178,0.9362091321377985,0.9677854597087829
deception,rescue,within_15015,selected,0.19348532522720405,0.1664995816182251,0.22111704070379903,0.05171297688878352,0.04419116361907894,0.05962213115849261,0.21860733523123688,0.19771444459986542,0.23942503012536515,0.0037541288747301987,0.002992131814807503,0.0047081065411593076,-0.003477318632987238,-0.011912765762498301,0.004410933366706292,0.9655234852144795,0.9525339102312442,0.9777882357278177
deception,rescue,within_15015,null,-0.00395064447428919,-0.005405779323049898,-0.002611238556836792,0.007489041201845412,0.006463493602754052,0.008484989014264541,0.08965616550056203,0.07712306945825056,0.1021076044063985,0.0005588985898817379,0.0004997786788965553,0.0006184939467710782,0.0018208488341300718,-0.0014570273218616364,0.004975460950405367,0.9961143703229965,0.9912994883714183,1.0
deception,rescue,within_15004,selected,0.3434679630062574,0.307156004382785,0.3788068116832696,0.0536966807238998,0.04629825804074625,0.06169901965261106,0.22223137198917328,0.20169088776493746,0.24302131460919496,0.003945744516620893,0.0031627527217008926,0.004891582384316867,4.7685638550789124e-05,-0.008391724526882173,0.007699848735524761,0.9775054618235557,0.9655036368197011,0.9880900635594322
deception,rescue,within_15004,null,-0.0017787084741857251,-0.002785159793458856,-0.0008387289665870061,0.0065990203067720415,0.005502304577291193,0.00765494627370161,0.07871374327148642,0.06562731589130577,0.09149061422344416,0.0006069901754662785,0.0005433965109747782,0.0006726365269705345,-0.002060284537653769,-0.005913756018684756,0.0013906178695540273,0.9965930658002053,0.9921942401316858,1.0
deception,rescue,cross_15130,selected,0.018755751088451924,0.013919130274754643,0.02400829085654796,0.004337924184285164,0.0010476104476706937,0.007639088601412837,0.02825318234446909,0.008513492720498282,0.04821273973812499,0.0020679705205933012,0.0017356572569863808,0.0024615432904899915,0.004911873609788956,-0.001976710557937622,0.011943582926065684,0.9793601055299083,0.9681580547363527,0.989313128614618
deception,rescue,cross_15130,null,0.00259351170443257,0.0016292269606295081,0.0036375499490201944,0.005324876901032703,0.004358186636489981,0.006243502001668656,0.061496208358045305,0.050221087184974984,0.07265537258297686,0.0006527272644527857,0.0005786481088380829,0.0007312806380263459,0.0025901381046541275,-0.0006548219390453828,0.005762343541268377,0.992754154628323,0.9847137718671752,0.9989247312468867
deception,rescue,cross_15122,selected,-0.0037342397795577975,-0.006465839648061073,-0.0011653674016746949,0.0016023846273451308,-0.0012089608900814415,0.004369723923164495,0.01401671585476687,-0.003141187489428933,0.03133544328121652,0.001840958137050151,0.0015961122874409005,0.0021107955220119744,0.005367952008401194,-0.00046084792383255474,0.011320017326262689,0.9904729320156959,0.9829220247845496,0.9965578557983521
deception,rescue,cross_15122,null,0.001786110070868248,0.0009093211548468306,0.0027558709862828645,0.005267656071678615,0.004119283688640046,0.006417803951274348,0.06252702444814326,0.04937323834301131,0.07518733227315673,0.0005876676079952308,0.0005158193161884312,0.0006624788535778099,-0.0019075774377392185,-0.00581363879384533,0.0017425259034479796,0.9828099271943492,0.9731135716842066,0.9917666555172012
deception,rescue,selected_k12_identity,identity,0.9245658695096601,0.9091887258687069,0.9390460203548673,0.10373919234881478,0.09136945567649579,0.11641770484932368,0.32721880126383995,0.3050666613203864,0.3487955567216681,0.00723422726995552,0.0055849762033293735,0.00950534091774194,-0.00685096267730959,-0.01618745012148734,0.0024570542718133615,0.9590973844451289,0.9455053015101341,0.9722525772308149
harmful,induction,within_15015,selected,0.17425716256649224,0.14845725687404296,0.1992199685299983,0.1368511963635683,0.12474723037029617,0.14948790118820035,0.39708882801234724,0.37160869628936055,0.4211398416142911,0.01388342990889214,0.012281216963077896,0.015553276035061571,0.030993786454200745,0.023992995649576188,0.038256281167268744,0.9430805188417435,0.9334121287018061,0.951609742358327
harmful,induction,within_15015,null,-0.05129305505265812,-0.05779508543855624,-0.04507111182087894,0.012036154728702968,0.01051724032294078,0.013565564851887755,0.10984203067841009,0.09585104895941912,0.12392956119414883,0.0015909249216201715,0.0014900100668673987,0.0016934320779546398,0.0038474911451339723,0.0014241591691970827,0.0060245306491851815,0.9767349094152451,0.9678685296624899,0.9833832057118416
harmful,induction,within_15004,selected,0.15046951925505372,0.12421068437687914,0.17588300553463682,0.11190378003215301,0.10247026603570704,0.12124369680146993,0.3501085903606145,0.32688959845942733,0.372952329290376,0.012011221599532291,0.010737403705948964,0.013355095307138982,0.027284021377563476,0.02054891559481621,0.03410069921612739,0.9402141171693802,0.9291060541719198,0.9496905332952738
harmful,induction,within_15004,null,-0.003006032569188708,-0.006817145496588969,0.0010569491008544734,0.012376377462496748,0.009625670369245198,0.01571765784028321,0.10404688587994315,0.08687559252927896,0.12069553012616233,0.001592469613678986,0.0014795269641981576,0.0017069270313149899,0.0026026177406311035,0.00010142137110233307,0.004948796629905701,0.9800013232231141,0.9712843092381954,0.986098685786128
