concept,label,probe_role,source_condition,token_control,mapping_id,normalized_effect,ci_low,ci_high,source_destination_rms_ratio,delta_destination_natural_rms_ratio,patched_destination_rms_ratio
deception,1,target,correct_trigger,aligned,cross_15122,-0.019377470785620996,-0.038088022688493844,-0.004632874284367274,1.4347771853208542,2.0889041796326637,1.6730716973543167
deception,1,other_safety,correct_trigger,aligned,cross_15122,-0.04684644375698091,-0.056600469526599716,-0.03794721242948638,1.4347771853208542,2.0889041796326637,1.6730716973543167
deception,1,target,correct_trigger,aligned,cross_15130,0.10091714147260149,0.07675353677484498,0.12546353143509803,1.3655574321746826,1.933538593351841,1.5364465564489365
deception,1,other_safety,correct_trigger,aligned,cross_15130,0.022145178624189542,0.014450029013735224,0.02998873486939251,1.3655574321746826,1.933538593351841,1.5364465564489365
deception,1,target,correct_trigger,aligned,day14_seed_211_heads,0.03154384732180403,0.014999583775546757,0.05246522909138384,1.3341602683067322,1.6514304876327515,1.4374500811100006
deception,1,other_safety,correct_trigger,aligned,day14_seed_211_heads,0.032852351489734345,0.023508789318055192,0.042092525701087055,1.3341602683067322,1.6514304876327515,1.4374500811100006
deception,1,target,correct_trigger,aligned,day14_seed_223_heads,0.10051239452689695,0.07546109903785025,0.1281807110217705,1.2604216933250427,1.3969539254903793,1.4575958773493767
deception,1,other_safety,correct_trigger,aligned,day14_seed_223_heads,-0.10375126186323648,-0.11942061340608753,-0.08767330171515232,1.2604216933250427,1.3969539254903793,1.4575958773493767
deception,1,target,correct_trigger,aligned,within_15004,0.8002199475650541,0.7201080858342027,0.8884009563921358,1.2851458489894867,1.2243617847561836,1.381773367524147
deception,1,other_safety,correct_trigger,aligned,within_15004,0.07394395402769274,0.04802176233587253,0.10874909385609595,1.2851458489894867,1.2243617847561836,1.381773367524147
deception,1,target,correct_trigger,aligned,within_15015,0.6264545562303803,0.5402244590184414,0.718549281578998,1.2510311007499695,1.2001682296395302,1.318763092160225
deception,1,other_safety,correct_trigger,aligned,within_15015,0.043836305859876704,0.023891892641587982,0.067525184982119,1.2510311007499695,1.2001682296395302,1.318763092160225
deception,1,target,correct_trigger,reverse_valid_response_tokens,cross_15122,-0.02624799877813095,-0.04764411181861849,-0.010077087889462166,1.4347771853208542,2.0889041796326637,1.6730716973543167
deception,1,other_safety,correct_trigger,reverse_valid_response_tokens,cross_15122,-0.035822642342905095,-0.04722131318618102,-0.025106926326206577,1.4347771853208542,2.0889041796326637,1.6730716973543167
deception,1,target,correct_trigger,reverse_valid_response_tokens,cross_15130,0.09693634040347995,0.07436195095610869,0.1193889463177601,1.3655574321746826,1.933538593351841,1.5364465564489365
deception,1,other_safety,correct_trigger,reverse_valid_response_tokens,cross_15130,0.013382079292482193,0.0033317315800390174,0.023559879342854896,1.3655574321746826,1.933538593351841,1.5364465564489365
deception,1,target,correct_trigger,reverse_valid_response_tokens,day14_seed_211_heads,0.037682492275932455,0.024125187593526397,0.054734522446412553,1.3341602683067322,1.6514304876327515,1.4374500811100006
deception,1,other_safety,correct_trigger,reverse_valid_response_tokens,day14_seed_211_heads,0.022818293729578935,0.011490789264537614,0.033239456238361165,1.3341602683067322,1.6514304876327515,1.4374500811100006
deception,1,target,correct_trigger,reverse_valid_response_tokens,day14_seed_223_heads,0.10435150151549343,0.07949175983540695,0.13059412573047868,1.2604216933250427,1.3969539254903793,1.4575958773493767
deception,1,other_safety,correct_trigger,reverse_valid_response_tokens,day14_seed_223_heads,-0.09144132608130086,-0.1083979079136378,-0.07504934289015408,1.2604216933250427,1.3969539254903793,1.4575958773493767
deception,1,target,correct_trigger,reverse_valid_response_tokens,within_15004,0.7200320989297371,0.6235355722838117,0.817792587837565,1.2851458489894867,1.2243617847561836,1.381773367524147
deception,1,other_safety,correct_trigger,reverse_valid_response_tokens,within_15004,0.049660920826826396,0.02591434362232592,0.07913111728595731,1.2851458489894867,1.2243617847561836,1.381773367524147
deception,1,target,correct_trigger,reverse_valid_response_tokens,within_15015,0.5621441312631216,0.4807163121348523,0.647802004204517,1.2510311007499695,1.2001682296395302,1.318763092160225
deception,1,other_safety,correct_trigger,reverse_valid_response_tokens,within_15015,0.026745860229825558,0.007848703479915307,0.04880816835078116,1.2510311007499695,1.2001682296395302,1.318763092160225
deception,1,target,irrelevant_concept,aligned,cross_15122,0.14452883197748415,0.10577281821034618,0.18550496568136,1.5835791006684303,2.250037521123886,1.687216803431511
deception,1,other_safety,irrelevant_concept,aligned,cross_15122,-0.01774931189644562,-0.027224151243493384,-0.009076731676867632,1.5835791006684303,2.250037521123886,1.687216803431511
