concept,condition_id,nll_shift,nll_ci_low,nll_ci_high,kl,kl_ci_low,kl_ci_high
deception,baseline:correct_trigger,-0.0344768762588501,-0.11758824167773127,0.08570567481219768,0.0652352764736861,0.053343236417276785,0.07863139606197364
deception,day14_seed_211_delta,-0.007080208510160446,-0.01617868086323142,0.0020256927236914617,0.0018381818335910793,0.0013388748197940004,0.002477392098353448
deception,day14_seed_211_raw,0.010104015469551086,-0.02161370227113366,0.045387649256736017,0.015261758424458094,0.008790278777451022,0.02363937541886116
deception,day14_seed_223_delta,0.010573282837867737,0.0008501684293150904,0.020352721959352494,0.0020545488077914342,0.0015027784364065155,0.002688679838138341
deception,day14_seed_223_raw,0.03079940751194954,-0.007991022616624831,0.07020802963525055,0.016886750694538932,0.00868200434397295,0.027486065389712166
deception,selected_k12_identity,0.007178794592618942,-0.00916833784431219,0.023129667807370424,0.008028261348954402,0.004154108476359397,0.013675569703264044
harmful,baseline:correct_trigger,0.25456424057483673,0.1796894110739231,0.33719298802316183,0.16173956752754748,0.12265357320429757,0.20156161465565675
harmful,day14_seed_211_delta,0.01035405695438385,-0.0007081601768732069,0.02065371163189411,0.006155850613140501,0.005087287304922939,0.007249581553332973
harmful,day14_seed_211_raw,0.03138173371553421,0.009564726613461971,0.05019659139215946,0.02724991226568818,0.02268949871067889,0.031733762082876635
harmful,day14_seed_223_delta,0.017157018184661865,0.007514419034123421,0.026259883493185043,0.008352101343916729,0.006854309012851445,0.009990535039105452
harmful,day14_seed_223_raw,0.06668957322835922,0.05005475152283907,0.08385081086307762,0.03558733104728162,0.028966521099209785,0.04202399365021847
harmful,selected_k12_identity,0.07962792366743088,0.04269136041402817,0.11704761609435081,0.044188495667185634,0.03166497454949422,0.05937561671744333
