scope,label,set_size,contrast,fraction_difference,ci_low,ci_high
discovery,1,1,selected_minus_random,0.3021528256112468,0.29129310081400916,0.31324294109448064
discovery,0,1,selected_minus_random,0.02892896799052336,0.024107851344738352,0.03412435204230991
discovery,1,2,selected_minus_random,0.4885941571025893,0.4753361838058127,0.5018799368003182
discovery,0,2,selected_minus_random,0.05002200814083358,0.04432093344471377,0.05611498532337685
discovery,1,4,selected_minus_random,0.7344436968430591,0.7222907845653269,0.746300275560875
discovery,0,4,selected_minus_random,0.07143360516048036,0.061899091918529034,0.0821548747700598
discovery,1,8,selected_minus_random,0.8534928284196248,0.8443463648010178,0.8622989816625525
discovery,0,8,selected_minus_random,0.04285467779895081,0.03128427541125235,0.055645740345667945
discovery,1,16,selected_minus_random,0.9423978897896766,0.9363773066952648,0.9481811206030054
discovery,0,16,selected_minus_random,0.08810275431125997,0.07436361296529394,0.10361242290799717
validation,1,1,selected_minus_random,0.23688198271663496,0.22736432877791588,0.2464383244759821
validation,0,1,selected_minus_random,0.01539749802727754,0.011689010816006064,0.019497895532265736
validation,1,2,selected_minus_random,0.31563009124515157,0.30577273156454493,0.32527280218296095
validation,0,2,selected_minus_random,0.0344771010072385,0.029381582998939157,0.04010746667981301
validation,1,4,selected_minus_random,0.46365027808348547,0.45290589980576135,0.47386826744065125
validation,0,4,selected_minus_random,0.07328569498036268,0.06423651567319531,0.08317590022058337
validation,1,8,selected_minus_random,0.6225537104857146,0.6120002933642378,0.6324293142356412
validation,0,8,selected_minus_random,0.08104877597316279,0.06959001750699026,0.09365764430752255
validation,1,16,selected_minus_random,0.8566721499147648,0.8461298507415651,0.8668538254423963
validation,0,16,selected_minus_random,0.11806134669369783,0.10390936501817508,0.13348986949920505
all_benign,1,1,selected_minus_random,0.260616834678312,0.2533645645008589,0.26796199551290795
all_benign,0,1,selected_minus_random,0.02031803255936693,0.017370438766249108,0.023549432685299465
all_benign,1,2,selected_minus_random,0.3785261151933108,0.37061526473007717,0.3863347855123753
all_benign,0,2,selected_minus_random,0.04012979451036399,0.03626728974486841,0.044271912336415344
all_benign,1,4,selected_minus_random,0.5621206121778758,0.5540016877553011,0.5699155622573617
all_benign,0,4,selected_minus_random,0.07261220777313275,0.06586230200296005,0.08004532808538252
all_benign,1,8,selected_minus_random,0.7065315715525908,0.6992201256258107,0.7137428545828687
all_benign,0,8,selected_minus_random,0.06716001300072208,0.0587338285122292,0.07643261024617434
all_benign,1,16,selected_minus_random,0.8878451462329147,0.8809431644768002,0.8946646265436045
all_benign,0,16,selected_minus_random,0.10716731310008408,0.09687783443130876,0.11849441088510043
