group_id,group_role,set_size,scope,label,concept_count,positive_concept_count,fraction,ci_low,ci_high
selected_k8,selected_prefix,8,all_benign,0,11,10,0.0663088012160694,0.058350484549511916,0.0751362491003983
selected_k16,selected_prefix,16,all_benign,1,11,11,0.8584712242803721,0.8521790397343679,0.8644554498152798
selected_k16,selected_prefix,16,all_benign,0,11,10,0.09059808561564596,0.08074272116151482,0.10140606377345772
random_k1,random_prefix,1,all_benign,1,11,2,-0.02035545684187404,-0.022191400555851237,-0.018726312229299043
random_k1,random_prefix,1,all_benign,0,11,6,-0.002657307017584712,-0.003428828236672163,-0.0019890285008627487
random_k2,random_prefix,2,all_benign,1,11,3,-0.018706902956218494,-0.020374823955059216,-0.017220031349743908
random_k2,random_prefix,2,all_benign,0,11,5,-0.0032676129215723076,-0.0040351075236932776,-0.002597647828200487
random_k4,random_prefix,4,all_benign,1,11,3,-0.0202775744975647,-0.022452843095464164,-0.018414054391966455
random_k4,random_prefix,4,all_benign,0,11,6,-0.0031984913982984727,-0.004093031260926081,-0.0023716282569274053
random_k8,random_prefix,8,all_benign,1,11,6,-0.013272257567630735,-0.015500526303043178,-0.011327024521642748
random_k8,random_prefix,8,all_benign,0,11,8,-0.0008512117846526794,-0.0019708912605711543,0.00019376517815671815
random_k16,random_prefix,16,all_benign,1,11,5,-0.02937392195254254,-0.032037326192316355,-0.02702808217067675
random_k16,random_prefix,16,all_benign,0,11,4,-0.016569227484438117,-0.017976639385110193,-0.01527834311224423
all_layer11_components,full_relevant_block,17,all_benign,1,11,11,0.49879016279656396,0.49057010828063424,0.5067600455591236
all_layer11_components,full_relevant_block,17,all_benign,0,11,10,0.04515792415834803,0.04059825636955634,0.049953596286139865
control_outside_layer11_k17,full_block_control,17,all_benign,1,11,4,-0.030655436079090114,-0.03335148929100048,-0.028367224633966903
control_outside_layer11_k17,full_block_control,17,all_benign,0,11,4,-0.01997722189775942,-0.021648835559870256,-0.018468660455722742
resid_post_layer12_positive_control,positive_control,1,all_benign,1,11,11,1.0,1.0,1.0
resid_post_layer12_positive_control,positive_control,1,all_benign,0,11,10,0.11372714029401516,0.10217081214605467,0.12629128312722343
