concept,pooling,selected_rescue,selected_induction,random_rescue,random_induction,supported
deception,mean,0.9472401502417126,0.9869585939463079,0.0025098579333976087,0.0035353309530149024,True
deception,first,0.9785678883371248,0.9991385285168671,0.00016015984628537787,0.0034807038490083093,True
deception,last,0.9826277169057883,0.9999465538038437,-2.5425300200940293e-05,0.004758636644943531,True
deception,maximum,0.9970700631969958,0.9441578795301793,0.011356828779140748,0.00033484992034336507,True
harmful,mean,0.8440159491257757,0.7256400359035887,-0.013214430814633527,-0.013626365379017312,True
harmful,first,0.7791907782404797,0.6224945209748157,-0.02934079150345481,-0.01744016852992153,True
harmful,last,0.8147026682451508,0.6466851834987707,-0.003540205810035516,0.006192514342956016,True
harmful,maximum,0.911477869467366,0.6286571642910722,-0.017254313578394583,-0.009752438109527374,True
