split,concept,group_id,group_role,set_size,label,n_examples,normal_mean,patched_mean,fraction,ci_low,ci_high,raw_score_suppression,positive_example_fraction
discovery,HTML,selected_single_rank1,selected_strong_individual,1,1,64,0.953362975269556,0.8995044706389308,0.08500374041162785,0.07609479115290184,0.09425835380575281,0.05385850463062525,1.0
discovery,HTML,selected_single_rank1,selected_strong_individual,1,0,64,0.18544713058508933,0.13348292352748103,0.08201401055812671,0.06133248038941817,0.10688847932223802,0.05196420705760829,0.984375
discovery,HTML,selected_single_rank2,selected_strong_individual,1,1,64,0.953362975269556,0.8730934467166662,0.1266877016892473,0.10789833470060169,0.14602131965469262,0.08026952855288982,1.0
discovery,HTML,selected_single_rank2,selected_strong_individual,1,0,64,0.18544713058508933,0.12794369115727022,0.09075646402404314,0.07211138827407698,0.11181972916789859,0.0575034394278191,1.0
discovery,HTML,selected_single_rank3,selected_strong_individual,1,1,64,0.953362975269556,0.9513691002503037,0.0031468908339014248,0.0024910719657119398,0.0038410991189355673,0.0019938750192523003,0.96875
discovery,HTML,selected_single_rank3,selected_strong_individual,1,0,64,0.18544713058508933,0.18999275454552844,-0.007174262296958181,-0.009694650024793321,-0.004898006185983779,-0.004545623960439116,0.109375
discovery,HTML,selected_single_rank4,selected_strong_individual,1,1,64,0.953362975269556,0.9252656977623701,0.04434533969842558,0.036643901948217504,0.052532086515465364,0.028097277507185936,1.0
discovery,HTML,selected_single_rank4,selected_strong_individual,1,0,64,0.18544713058508933,0.16554794798139483,0.03140645964920084,0.023027007438593556,0.04078827593168581,0.0198991826036945,0.859375
discovery,HTML,random_single_rank1,random_individual_control,1,1,64,0.953362975269556,0.9541282188147306,-0.0012077677260409346,-0.0016434254064361918,-0.0008303630811226547,-0.0007652435451745987,0.078125
discovery,HTML,random_single_rank1,random_individual_control,1,0,64,0.18544713058508933,0.18379467661725357,0.0026080331989797433,0.0011953977755985072,0.00435127416707931,0.0016524539678357542,0.671875
discovery,HTML,random_single_rank2,random_individual_control,1,1,64,0.953362975269556,0.9524015616625547,0.0015173787916732393,0.0005575286569550755,0.00284841707873132,0.0009614136070013046,0.8125
discovery,HTML,random_single_rank2,random_individual_control,1,0,64,0.18544713058508933,0.18539322534343228,8.507750447338444e-05,-0.0005919337584426215,0.0006410250453537811,5.3905241657048464e-05,0.609375
discovery,HTML,random_single_rank3,random_individual_control,1,1,64,0.953362975269556,0.9545188723132014,-0.0018243278923999243,-0.0025018392111428116,-0.0012227240575550724,-0.001155897043645382,0.109375
discovery,HTML,random_single_rank3,random_individual_control,1,0,64,0.18544713058508933,0.18657956959214061,-0.0017873045686577183,-0.002850364204611689,-0.0007832128775443583,-0.001132439007051289,0.328125
discovery,HTML,random_single_rank4,random_individual_control,1,1,64,0.953362975269556,0.953499699011445,-0.00021578819433152983,-0.00032345210726608616,-0.00011734839061228061,-0.00013672374188899994,0.1875
discovery,HTML,random_single_rank4,random_individual_control,1,0,64,0.18544713058508933,0.18510465597501025,0.0005405204443084742,-9.32864686167318e-05,0.0013719907128258292,0.00034247461007907987,0.515625
discovery,HTML,selected_k16,complete_selected_set,16,1,64,0.953362975269556,0.3561365748755634,0.9425898148162626,0.9359946385645855,0.9488196058104047,0.5972264003939927,1.0
discovery,HTML,selected_k16,complete_selected_set,16,0,64,0.18544713058508933,0.10113169375108555,0.13307327328310672,0.10209106331462073,0.16902122271702005,0.08431543683400378,0.953125
discovery,HTML,random_k16,matched_random_set,16,1,64,0.953362975269556,0.9486994380131364,0.007360362361773389,0.005750640611769929,0.00917985477295424,0.004663537256419659,0.953125
discovery,HTML,random_k16,matched_random_set,16,0,64,0.18544713058508933,0.18271776981418952,0.004307692462878428,0.0006483804926785778,0.008251774745805582,0.0027293607708998024,0.5625
discovery,HTML,resid_post_layer08_context,surrounding_residual_context,1,1,64,0.953362975269556,0.9269977305084467,0.041611708994386036,0.03341514846789822,0.05071421414979156,0.026365244761109352,1.0
discovery,HTML,resid_post_layer08_context,surrounding_residual_context,1,0,64,0.18544713058508933,0.19890564936213195,-0.02124129595306719,-0.02588702925478553,-0.01672435128240213,-0.013458518777042627,0.078125
discovery,HTML,selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,1,64,0.953362975269556,0.31421554693952203,1.0087528878704224,1.0066763651839863,1.010849491123264,0.639147428330034,1.0
discovery,HTML,selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,0,64,0.18544713058508933,0.10163870311225764,0.13227307111598544,0.10030440802753504,0.16951808162405396,0.08380842747283168,0.953125
discovery,HTML,resid_post_layer12_positive_control,positive_control,1,1,64,0.953362975269556,0.3197613905649632,1.0,1.0,1.0,0.6336015847045928,1.0
discovery,HTML,resid_post_layer12_positive_control,positive_control,1,0,64,0.18544713058508933,0.10761997415102087,0.1228329573549823,0.09057639797184275,0.16027072142266438,0.07782715643406846,0.9375
validation,all-caps,selected_single_rank1,selected_strong_individual,1,1,64,0.8997547244653106,0.8820320200175047,0.03568427183335084,0.028699812971197863,0.04318684270158248,0.01772270444780588,0.96875
validation,all-caps,selected_single_rank1,selected_strong_individual,1,0,64,0.08548116264864802,0.09318890701979399,-0.015519372123592782,-0.020779903207270887,-0.010421306750686504,-0.007707744371145964,0.171875
validation,all-caps,selected_single_rank2,selected_strong_individual,1,1,64,0.8997547244653106,0.893806675914675,0.01197626366697808,0.008234200563860034,0.016276992471138108,0.005948048550635576,0.921875
validation,all-caps,selected_single_rank2,selected_strong_individual,1,0,64,0.08548116264864802,0.08528983342694119,0.0003852371390132556,-0.003233284215652085,0.0039480486168678355,0.00019132922170683742,0.59375
validation,all-caps,selected_single_rank3,selected_strong_individual,1,1,64,0.8997547244653106,0.8774806591682136,0.04484833583024725,0.03368462560572566,0.05763992932015805,0.022274065297096968,0.984375
validation,all-caps,selected_single_rank3,selected_strong_individual,1,0,64,0.08548116264864802,0.07072267611511052,0.02971588489006261,0.023843041980226565,0.03623662909537585,0.014758486533537507,0.9375
validation,all-caps,selected_single_rank4,selected_strong_individual,1,1,64,0.8997547244653106,0.8992701782844961,0.0009756229746379021,-0.0016381702077223137,0.0030759072743036576,0.0004845461808145046,0.765625
validation,all-caps,selected_single_rank4,selected_strong_individual,1,0,64,0.08548116264864802,0.08622093600570224,-0.0014895172261060546,-0.004355680258286794,0.001436122627740831,-0.0007397733570542186,0.421875
validation,all-caps,random_single_rank1,random_individual_control,1,1,64,0.8997547244653106,0.9041435378603637,-0.008836778307518235,-0.013187969741014416,-0.005429693607916871,-0.004388813395053148,0.046875
