scope,label,contrast,fraction_difference,ci_low,ci_high
discovery,1,selected_k16_plus_resid08_minus_selected_k16,0.05081811007900583,0.047242077358913184,0.054604115804139
discovery,0,selected_k16_plus_resid08_minus_selected_k16,-0.0005288825423100246,-0.0020994082936541068,0.001136747868931863
validation,1,selected_k16_plus_resid08_minus_selected_k16,0.15061055623234265,0.1451676723663561,0.1558932120391138
validation,0,selected_k16_plus_resid08_minus_selected_k16,0.0046551103582424536,0.0025359072860283507,0.006782506835079319
all_benign,1,selected_k16_plus_resid08_minus_selected_k16,0.11432239399476574,0.11066338864998147,0.11790136142591634
all_benign,0,selected_k16_plus_resid08_minus_selected_k16,0.002770022030768843,0.0013244760046844434,0.004261619133736781
