scope,group_id,alpha,concept_count,fraction,ci_low,ci_high,marginal_fraction,marginal_ci_low,marginal_ci_high
discovery,selected_single_rank1,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
discovery,selected_single_rank1,0.25,4,0.03410110393712619,0.02746292308480716,0.0422091187559639,0.03410110393712619,0.02746292308480716,0.0422091187559639
discovery,selected_single_rank1,0.5,4,0.07974039521267717,0.06697361050931495,0.09480347601563083,0.04563929127555098,0.03922535107373081,0.05302532047852519
discovery,selected_single_rank1,0.75,4,0.14100599106207942,0.12281423380507869,0.16200366429378202,0.06126559584940225,0.05460632826758439,0.06844109957510783
discovery,selected_single_rank1,1.0,4,0.21971000230893112,0.1966114091263782,0.24524252281558995,0.0787040112468517,0.07114602577774459,0.08610297295422137
discovery,selected_k16,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
discovery,selected_k16,0.25,4,0.1351185259294158,0.11710193441001095,0.1559877679529775,0.1351185259294158,0.11710193441001095,0.1559877679529775
discovery,selected_k16,0.5,4,0.3944913797898647,0.36552662837379946,0.4246509472210772,0.2593728538604489,0.24118652530480045,0.27694293058630237
discovery,selected_k16,0.75,4,0.7024123603159623,0.6873157888492929,0.717791724724917,0.3079209805260976,0.2883891300678269,0.32741252088613243
discovery,selected_k16,1.0,4,0.9334348181248078,0.9264191823002778,0.9399021246780943,0.23102245780884545,0.21873658400714002,0.2427871021715671
discovery,random_k16,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
discovery,random_k16,0.25,4,0.0017694194983264246,0.001191667826786767,0.0024014541277353,0.0017694194983264246,0.001191667826786767,0.0024014541277353
discovery,random_k16,0.5,4,0.00485621954817329,0.00352748438787619,0.006318443804353965,0.003086800049846865,0.0023181752712827285,0.003944502831868175
discovery,random_k16,0.75,4,0.009126293531693329,0.006894809230195742,0.01157697715872418,0.004270073983520039,0.0033490581724072216,0.0052781283365905506
discovery,random_k16,1.0,4,0.01410537983105818,0.010941935217263731,0.017558841885279345,0.004979086299364851,0.004032791476427759,0.005995096373657306
discovery,resid_post_layer08_context,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
discovery,resid_post_layer08_context,0.25,4,0.01476971134947758,0.012143771767841654,0.017750239169985037,0.01476971134947758,0.012143771767841654,0.017750239169985037
discovery,resid_post_layer08_context,0.5,4,0.033342249718746116,0.028536981466431372,0.03881375411321382,0.018572538369268535,0.01628550565664397,0.021235449774665367
discovery,resid_post_layer08_context,0.75,4,0.057173502560152356,0.05009121666685536,0.0653341526773323,0.02383125284140624,0.020512141773414382,0.027833684165011998
discovery,resid_post_layer08_context,1.0,4,0.08819030963804826,0.07623157836290705,0.1027358437099878,0.031016807077895905,0.024712627730989707,0.039654880031348795
discovery,selected_k16_plus_resid_post_layer08,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
discovery,selected_k16_plus_resid_post_layer08,0.25,4,0.15326914563600175,0.13508789302548127,0.17461806903611052,0.15326914563600175,0.13508789302548127,0.17461806903611052
discovery,selected_k16_plus_resid_post_layer08,0.5,4,0.43843265715926727,0.4106404886359838,0.46717616751283303,0.2851635115232655,0.2675779489307882,0.30285237098937223
discovery,selected_k16_plus_resid_post_layer08,0.75,4,0.7542136973118985,0.7422100416049027,0.7665874747695007,0.3157810401526312,0.29615414540766755,0.33587856753566825
discovery,selected_k16_plus_resid_post_layer08,1.0,4,0.9820809013952616,0.9794605090189608,0.9845077400962851,0.22786720408336314,0.21628155952628145,0.23905082051994103
discovery,resid_post_layer12_positive_control,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
discovery,resid_post_layer12_positive_control,0.25,4,0.15436173487214128,0.1369443533239295,0.17445917789577553,0.15436173487214128,0.1369443533239295,0.17445917789577553
discovery,resid_post_layer12_positive_control,0.5,4,0.4396537735633661,0.412337982534021,0.4679840953945074,0.2852920386912248,0.2679774360115571,0.3026545500010505
discovery,resid_post_layer12_positive_control,0.75,4,0.7609626796905486,0.7496807180413443,0.7724819499904544,0.32130890612718255,0.3012846885181291,0.3413171922440383
discovery,resid_post_layer12_positive_control,1.0,4,1.0,1.0,1.0,0.23903732030945135,0.22751805000954559,0.2503192819586557
validation,selected_single_rank1,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
validation,selected_single_rank1,0.25,7,0.02587283566688208,0.020816700962227874,0.03275090733643236,0.02587283566688208,0.020816700962227874,0.03275090733643236
validation,selected_single_rank1,0.5,7,0.056818312860515814,0.048541488993356016,0.06705341573000928,0.030945477193633733,0.0265690423604113,0.036038970637523954
validation,selected_single_rank1,0.75,7,0.09090031938419564,0.08084140750763659,0.10307830461891299,0.03408200652367983,0.02979986250202441,0.038543639927997406
validation,selected_single_rank1,1.0,7,0.12639968718771158,0.11382840246285561,0.14095908254923098,0.03549936780351594,0.02998320177353479,0.04155699533905601
validation,selected_k16,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
validation,selected_k16,0.25,7,0.17099986326060118,0.1568075295242929,0.187710395471577,0.17099986326060118,0.1568075295242929,0.187710395471577
validation,selected_k16,0.5,7,0.42529993914911957,0.4064921425097936,0.445844111563146,0.2543000758885184,0.24456558946505436,0.26396447736435436
validation,selected_k16,0.75,7,0.6392830039100049,0.6207614133141593,0.6582888566769587,0.21398306476088536,0.2025761906219891,0.2240778991002927
validation,selected_k16,1.0,7,0.8072682655538159,0.7932037403279899,0.8207698796586719,0.167985261643811,0.15676956808719408,0.17873225589173108
validation,random_k16,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
validation,random_k16,0.25,7,0.00046676603206729166,-0.0012784960323652754,0.0020423802774824137,0.00046676603206729166,-0.0012784960323652754,0.0020423802774824137
validation,random_k16,0.5,7,0.006573182090342207,0.002668587365333916,0.010376496280528388,0.006106416058274915,0.00383876104996228,0.008436000856737527
validation,random_k16,0.75,7,0.022327900570000416,0.015159133846761277,0.029757321702063428,0.01575471847965821,0.012243311933500084,0.0196044876968528
validation,random_k16,1.0,7,0.0455570129959522,0.035379716065935665,0.056026410400331884,0.02322911242595178,0.02000357571396257,0.02662816100941542
validation,resid_post_layer08_context,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
validation,resid_post_layer08_context,0.25,7,0.05682236056601642,0.04934447780398097,0.06600941687929322,0.05682236056601642,0.04934447780398097,0.06600941687929322
validation,resid_post_layer08_context,0.5,7,0.12914325260017892,0.11447428177538267,0.1461707612760279,0.0723208920341625,0.06380133172226367,0.08265105682884713
validation,resid_post_layer08_context,0.75,7,0.23198818940032834,0.20439476643528065,0.2634635813005031,0.10284493680014942,0.08505444115124414,0.12423400949166805
validation,resid_post_layer08_context,1.0,7,0.33616032139946406,0.3046351325660157,0.3696969157409795,0.10417213199913572,0.09018908699249505,0.12075567391881198
validation,selected_k16_plus_resid_post_layer08,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
validation,selected_k16_plus_resid_post_layer08,0.25,7,0.19945252053685145,0.18393941498868752,0.21770142308942766,0.19945252053685145,0.18393941498868752,0.21770142308942766
validation,selected_k16_plus_resid_post_layer08,0.5,7,0.49232189004402616,0.47244147633510114,0.5134375776528686,0.2928693695071747,0.2822944901438143,0.3031236277720493
validation,selected_k16_plus_resid_post_layer08,0.75,7,0.7519068805361141,0.7360345627997102,0.7680394177179498,0.25958499049208794,0.2480144752509562,0.27005737881635183
validation,selected_k16_plus_resid_post_layer08,1.0,7,0.957422731966034,0.9536753844760522,0.9608277468953658,0.2055158514299199,0.1906683835635609,0.21992853097474166
validation,resid_post_layer12_positive_control,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
validation,resid_post_layer12_positive_control,0.25,7,0.21057973180062153,0.19434690685353342,0.22930407923135668,0.21057973180062153,0.19434690685353342,0.22930407923135668
validation,resid_post_layer12_positive_control,0.5,7,0.5079828559897173,0.4884965117857253,0.5285087365143993,0.29740312418909576,0.28680848858070174,0.30777323774987364
validation,resid_post_layer12_positive_control,0.75,7,0.7770107345316671,0.7617911344224361,0.7923797207176017,0.26902787854194987,0.2574324901192647,0.27935400287004913
validation,resid_post_layer12_positive_control,1.0,7,1.0,1.0,1.0,0.22298926546833286,0.2076202792823983,0.2382088655775639
all_benign,selected_single_rank1,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
all_benign,selected_single_rank1,0.25,11,0.028864933219698127,0.02488920236324896,0.034116948433908695,0.028864933219698127,0.02488920236324896,0.034116948433908695
all_benign,selected_single_rank1,0.5,11,0.06515361553402904,0.058143571097638506,0.07353895203578992,0.03628868231433091,0.03263356050077567,0.040429283836757084
all_benign,selected_single_rank1,0.75,11,0.10912056363069884,0.09988513157366892,0.11984391941282013,0.0439669480966698,0.040387225735615595,0.04777447374776845
all_benign,selected_single_rank1,1.0,11,0.160330710868155,0.14879442287455186,0.17322593524921728,0.05121014723745616,0.046737605087981374,0.05587622298296282
all_benign,selected_k16,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
all_benign,selected_k16,0.25,11,0.15795210423107925,0.14687376928279808,0.17105954821952044,0.15795210423107925,0.14687376928279808,0.17105954821952044
all_benign,selected_k16,0.5,11,0.41409682665484515,0.3983506802894654,0.43106476183760956,0.2561447224237659,0.24708136204770678,0.26494284326767836
all_benign,selected_k16,0.75,11,0.6622391335121712,0.6492881799518979,0.6756019967283534,0.24814230685732608,0.2377167404903061,0.2578090639391193
all_benign,selected_k16,1.0,11,0.8531470119432675,0.8438975775173018,0.862146269025395,0.19090787843109625,0.1825044645656499,0.19886957792059437
all_benign,random_k16,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
all_benign,random_k16,0.25,11,0.0009404582016160672,-0.0002032950705242948,0.0019606581362269842,0.0009404582016160672,-0.0002032950705242948,0.0019606581362269842
all_benign,random_k16,0.5,11,0.005948832075008056,0.0033945345069025215,0.008414311878685046,0.005008373873391988,0.0035226266294742584,0.006519430733119291
all_benign,random_k16,0.75,11,0.0175273161924342,0.012869899650699096,0.0223091801076541,0.011578484117426145,0.009283782854953106,0.014038837635563638
all_benign,random_k16,1.0,11,0.03412005548144528,0.02753774037726639,0.041013441360129806,0.01659273928901108,0.014525352281876538,0.018804593299581722
