group_id,group_role,set_size,scope,label,concept_count,positive_concept_count,nll_change,ci_low,ci_high
selected_single_rank1,selected_strong_individual,1,discovery,1,4,,-0.022582542151212692,-0.03579237684607506,-0.009372707456350327
selected_single_rank1,selected_strong_individual,1,discovery,0,4,,0.004640892148017883,-0.017882883548736572,0.02716466784477234
selected_single_rank2,selected_strong_individual,1,discovery,1,4,,-0.002061218023300171,-0.00905822217464447,0.004935786128044128
selected_single_rank2,selected_strong_individual,1,discovery,0,4,,0.01226717233657837,0.0014828741550445557,0.023051470518112183
selected_single_rank3,selected_strong_individual,1,discovery,1,4,,0.008850924670696259,-0.0009506270289421082,0.018689870834350586
selected_single_rank3,selected_strong_individual,1,discovery,0,4,,0.00882616639137268,-3.102421760559082e-05,0.017683357000350952
selected_single_rank4,selected_strong_individual,1,discovery,1,4,,-0.010918326675891876,-0.017548315227031708,-0.004288338124752045
selected_single_rank4,selected_strong_individual,1,discovery,0,4,,-0.003495633602142334,-0.008678168058395386,0.0016869008541107178
random_single_rank1,random_individual_control,1,discovery,1,4,,0.0007895529270172119,-0.002992779016494751,0.004571884870529175
random_single_rank1,random_individual_control,1,discovery,0,4,,-0.0028400421142578125,-0.007520347833633423,0.0018402636051177979
random_single_rank2,random_individual_control,1,discovery,1,4,,0.001757696270942688,0.0008148550987243652,0.0027005374431610107
random_single_rank2,random_individual_control,1,discovery,0,4,,-4.063546657562256e-05,-0.003542870283126831,0.003461599349975586
random_single_rank3,random_individual_control,1,discovery,1,4,,0.0009317882359027863,-0.0012258514761924744,0.003089427947998047
random_single_rank3,random_individual_control,1,discovery,0,4,,0.0043653398752212524,1.0564923286437988e-05,0.008720114827156067
random_single_rank4,random_individual_control,1,discovery,1,4,,0.0012925565242767334,0.0002910196781158447,0.002294093370437622
random_single_rank4,random_individual_control,1,discovery,0,4,,0.004503756761550903,0.000654369592666626,0.008377790451049805
selected_k16,complete_selected_set,16,discovery,1,4,,0.06531430408358574,0.037474196404218674,0.0931544117629528
selected_k16,complete_selected_set,16,discovery,0,4,,0.03785321116447449,-0.008119165897369385,0.08557820320129395
random_k16,matched_random_set,16,discovery,1,4,,0.0015684142708778381,-0.005425803363323212,0.008562631905078888
random_k16,matched_random_set,16,discovery,0,4,,0.006708025932312012,0.0027070343494415283,0.010709017515182495
resid_post_layer08_context,surrounding_residual_context,1,discovery,1,4,,-0.0019270926713943481,-0.014926895499229431,0.011072710156440735
resid_post_layer08_context,surrounding_residual_context,1,discovery,0,4,,0.0019471943378448486,-0.015408128499984741,0.01930251717567444
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,discovery,1,4,,0.08725912123918533,0.05522925406694412,0.11928898841142654
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,discovery,0,4,,0.04574713110923767,-0.0008225440979003906,0.09676682949066162
resid_post_layer12_positive_control,positive_control,1,discovery,1,4,,0.09909327328205109,0.06367729604244232,0.13450925052165985
resid_post_layer12_positive_control,positive_control,1,discovery,0,4,,0.05769498646259308,0.005897983908653259,0.11346070468425751
selected_single_rank1,selected_strong_individual,1,validation,1,7,,0.010142788290977478,0.004880643316677639,0.015345625366483415
selected_single_rank1,selected_strong_individual,1,validation,0,7,,0.015875884464808872,0.006659200574670519,0.025058022567204068
selected_single_rank2,selected_strong_individual,1,validation,1,7,,0.0003654616219656808,-0.0033340573310852045,0.004103992666516986
selected_single_rank2,selected_strong_individual,1,validation,0,7,,0.004554084369114467,-0.0008162600653512138,0.009924428803580148
selected_single_rank3,selected_strong_individual,1,validation,1,7,,0.0028550709996904644,-0.0021997702973229546,0.007590310914175851
selected_single_rank3,selected_strong_individual,1,validation,0,7,,0.003911077976226807,-0.0036180956023080008,0.0114262044429779
selected_single_rank4,selected_strong_individual,1,validation,1,7,,0.004687894667897906,-0.0010593278067452566,0.010450341871806554
selected_single_rank4,selected_strong_individual,1,validation,0,7,,0.004822117941720145,0.0015372895768710549,0.008045996938432966
random_single_rank1,random_individual_control,1,validation,1,7,,7.623008319309779e-06,-0.0022636204957962036,0.002260978732790266
random_single_rank1,random_individual_control,1,validation,0,7,,0.011843255587986537,0.003770061901637486,0.019935397378035943
random_single_rank2,random_individual_control,1,validation,1,7,,-0.00020156800746917725,-0.002083976353917803,0.0017037796122687204
random_single_rank2,random_individual_control,1,validation,0,7,,0.0020135981695992605,-0.0017224975994655064,0.005905938148498534
random_single_rank3,random_individual_control,1,validation,1,7,,0.0007581157343728202,-0.002277306147984096,0.003839888742991856
random_single_rank3,random_individual_control,1,validation,0,7,,0.008637275014604841,0.003926379340035575,0.013207095009940011
random_single_rank4,random_individual_control,1,validation,1,7,,-0.0015255340508052281,-0.002897500991821289,-0.00015377466167722437
random_single_rank4,random_individual_control,1,validation,0,7,,0.0062673091888427734,-0.0004614638430731635,0.012976203645978655
selected_k16,complete_selected_set,16,validation,1,7,,0.0829553199665887,0.07403334762368884,0.09194979821997029
selected_k16,complete_selected_set,16,validation,0,7,,0.04478203398840768,0.007179667055606844,0.08215050101280212
random_k16,matched_random_set,16,validation,1,7,,0.004128136805125645,0.0012658919606889998,0.0069882018225533625
random_k16,matched_random_set,16,validation,0,7,,0.013862558773585729,-0.0033065336091177805,0.03101635979754584
