scope,label,comparison,selected_group_id,random_group_id,fraction_difference,ci_low,ci_high
discovery,1,rank_1,selected_single_rank1,random_single_rank1,0.22837865566515841,0.21402000232896343,0.24262156753935724
discovery,0,rank_1,selected_single_rank1,random_single_rank1,0.05354885169107358,0.04493518966775128,0.06323564861428962
discovery,1,rank_2,selected_single_rank2,random_single_rank2,0.23027188345563193,0.21780223097054105,0.24229717015207458
discovery,0,rank_2,selected_single_rank2,random_single_rank2,0.04537164595923166,0.03932781984150731,0.05207218932891677
discovery,1,rank_3,selected_single_rank3,random_single_rank3,0.14670325234335288,0.1375377785511688,0.1562852709549238
discovery,0,rank_3,selected_single_rank3,random_single_rank3,0.018795660800107382,0.011203747455540907,0.02784454390116383
discovery,1,rank_4,selected_single_rank4,random_single_rank4,0.05991283995491885,0.055102191103876076,0.06505149065589194
discovery,0,rank_4,selected_single_rank4,random_single_rank4,0.015790954245426495,0.012734308957143763,0.019042771866689977
discovery,1,k16,selected_k16,random_k16,0.9188538290758876,0.9137761356874861,0.9236365924032316
discovery,0,k16,selected_k16,random_k16,0.051205345538892263,0.038626230825978713,0.06526463365610104
validation,1,rank_1,selected_single_rank1,random_single_rank1,0.11931773944344518,0.11153857622007853,0.12740173029782534
validation,0,rank_1,selected_single_rank1,random_single_rank1,0.015331245047133077,0.009705914268902214,0.02203816021195119
validation,1,rank_2,selected_single_rank2,random_single_rank2,0.16060915406043016,0.15287237244770563,0.1687016685021828
validation,0,rank_2,selected_single_rank2,random_single_rank2,0.04246573176447867,0.037719794940827146,0.04765528564629321
validation,1,rank_3,selected_single_rank3,random_single_rank3,0.13726283639731557,0.13059931229007377,0.1444216640743142
validation,0,rank_3,selected_single_rank3,random_single_rank3,0.03718040392391989,0.0314084778880758,0.04375661091595301
validation,1,rank_4,selected_single_rank4,random_single_rank4,0.09562868555582973,0.08958311167249237,0.10229258353569763
validation,0,rank_4,selected_single_rank4,random_single_rank4,0.023275595460266633,0.020432915384877466,0.026464665526618265
validation,1,k16,selected_k16,random_k16,0.7608765314797726,0.7531919964026711,0.7687651017342731
validation,0,k16,selected_k16,random_k16,0.12306150046872033,0.10833956486736172,0.139488977009884
all_benign,1,rank_1,selected_single_rank1,random_single_rank1,0.15897625443315908,0.15194132683304218,0.16623521293923368
all_benign,0,rank_1,selected_single_rank1,random_single_rank1,0.02922855655402053,0.024396532966202682,0.034765317546829
all_benign,1,rank_2,selected_single_rank2,random_single_rank2,0.18594105565868535,0.17927365660242606,0.19272295832795447
all_benign,0,rank_2,selected_single_rank2,random_single_rank2,0.043522427835297944,0.039740853891811485,0.04764086594458266
all_benign,1,rank_3,selected_single_rank3,random_single_rank3,0.14069571492314734,0.13534926357415183,0.14638110770064428
all_benign,0,rank_3,selected_single_rank3,random_single_rank3,0.030495042787988078,0.025777251204776377,0.0357195256698805
all_benign,1,rank_4,selected_single_rank4,random_single_rank4,0.08264110533731668,0.07839434032589467,0.08726878298710838
all_benign,0,rank_4,selected_single_rank4,random_single_rank4,0.02055390774577931,0.018398968225015022,0.022909297247852782
all_benign,1,k16,selected_k16,random_k16,0.8183228215147235,0.8130699910235272,0.8236658730200518
all_benign,0,k16,selected_k16,random_k16,0.09693198958514648,0.08648311377892828,0.10859787606386948
