panel,scope,set_size,group_id,recovery,recovery_ci_low,recovery_ci_high,relative_to_k16,relative_ci_low,relative_ci_high,marginal_recovery,marginal_ci_low,marginal_ci_high,group_role,label,concept_count,positive_concept_count,fraction,ci_low,ci_high
necessity,discovery,1,selected_k1,0.2973683003965076,0.2865011313354172,0.3084728579705357,0.3210552404954062,0.3104558120370515,0.3319297544413341,0.2973683003965076,0.2865011313354172,0.3084728579705357,,,,,,,
necessity,discovery,2,selected_k2,0.4855057879137224,0.4721647186081054,0.4989282284898593,0.5241788626854677,0.5117048120711513,0.5365669243341341,0.1881374875172148,0.1828980426309396,0.1932455695929162,,,,,,,
necessity,discovery,4,selected_k4,0.7292558237143407,0.7169854308467699,0.7412527419772696,0.7873448634339807,0.7773736738411874,0.797065376427901,0.2437500358006182,0.2386715164139879,0.2485835385122003,,,,,,,
necessity,discovery,8,selected_k8,0.856686931849852,0.847373791974822,0.865598984199634,0.9249265256840944,0.9193713978956464,0.9301727463285914,0.1274311081355112,0.1223616253769349,0.1325814597605283,,,,,,,
necessity,discovery,16,selected_k16,0.9262216057823932,0.9202421960811844,0.9317658918271908,1.0,1.0,1.0,0.0695346739325413,0.0649181152220739,0.0744225094177001,,,,,,,
necessity,validation,1,selected_k1,0.2076288506592553,0.1993067906857132,0.2159191986745484,0.2532810594296426,0.2439821545759192,0.2626608124893981,0.2076288506592553,0.1993067906857132,0.2159191986745484,,,,,,,
necessity,validation,2,selected_k2,0.2879983118504464,0.2794002012708615,0.2965428819516374,0.3513216843796948,0.342062609845856,0.3605548696430998,0.0803694611911911,0.0774149434646288,0.0832601887708225,,,,,,,
necessity,validation,4,selected_k4,0.4347500170894371,0.425417524974188,0.4436912885728959,0.5303402902141885,0.5208326202801707,0.5392456269033196,0.1467517052389906,0.1424852463331092,0.1509670625034231,,,,,,,
necessity,validation,8,selected_k8,0.5998721037764507,0.5903594317855658,0.6087562148327751,0.7317684487698397,0.7253355258755425,0.7379698443696727,0.1651220866870136,0.1588698548651744,0.1715471947713012,,,,,,,
necessity,validation,16,selected_k16,0.8197567205649313,0.8103343185313314,0.8284547284094568,1.0,1.0,1.0,0.2198846167884806,0.2146584035602084,0.2250911342678024,,,,,,,
sufficiency,discovery,1,selected_single_rank1,,,,,,,,,,selected_strong_individual,1,4,4,0.2266398497162251,0.2123662895868846,0.2407126399128145
sufficiency,discovery,1,selected_single_rank2,,,,,,,,,,selected_strong_individual,1,4,4,0.2329705084027211,0.2202501192139569,0.245156160816199
sufficiency,discovery,1,selected_single_rank3,,,,,,,,,,selected_strong_individual,1,4,4,0.1437591638884801,0.1346223141063875,0.1532404298364173
sufficiency,discovery,1,selected_single_rank4,,,,,,,,,,selected_strong_individual,1,4,4,0.0604886383068858,0.055629653194945,0.06565905821562
sufficiency,discovery,16,selected_k16,,,,,,,,,,complete_selected_set,1,4,4,0.9322101042691442,0.9272001910080138,0.936880867603088
sufficiency,discovery,16,random_k16,,,,,,,,,,matched_random_set,1,4,4,0.0133562751932565,0.0117571155723794,0.0150153954112804
sufficiency,discovery,1,resid_post_layer12_positive_control,,,,,,,,,,positive_control,1,4,4,1.0,1.0,1.0
sufficiency,validation,1,selected_single_rank1,,,,,,,,,,selected_strong_individual,1,7,7,0.1249605239534879,0.1183684055500812,0.1317404284957987
sufficiency,validation,1,selected_single_rank2,,,,,,,,,,selected_strong_individual,1,7,7,0.1646110656233703,0.1566973006356036,0.1729282044779861
sufficiency,validation,1,selected_single_rank3,,,,,,,,,,selected_strong_individual,1,7,7,0.1301270831900518,0.1237817744069142,0.1368470699289652
sufficiency,validation,1,selected_single_rank4,,,,,,,,,,selected_strong_individual,1,7,7,0.098068320771529,0.0920260464443225,0.1047064179365006
sufficiency,validation,16,selected_k16,,,,,,,,,,complete_selected_set,1,7,7,0.8063039394268765,0.8003366181613226,0.8122929590902397
sufficiency,validation,16,random_k16,,,,,,,,,,matched_random_set,1,7,3,0.0454274079471038,0.0406387889685612,0.0504648696811855
sufficiency,validation,1,resid_post_layer12_positive_control,,,,,,,,,,positive_control,1,7,7,1.0,1.0,1.0
