panel,concept,condition,metric,ci_high,ci_low,estimate
prompt_confounds,deception,correct_trigger,positive_suppression_fraction,1.0,1.0,1.0
prompt_confounds,deception,concept_only,positive_suppression_fraction,0.9452334841211185,0.8756441263298975,0.9114319878766715
prompt_confounds,deception,monitoring_only,positive_suppression_fraction,0.01395499984755849,-0.012117325907243718,0.0019999273220733054
prompt_confounds,deception,irrelevant_concept,positive_suppression_fraction,1.03804416808819,1.0092739477285868,1.0224855738557976
prompt_confounds,deception,nearby_concept,positive_suppression_fraction,0.5158080006724356,0.2721793624836352,0.39164671775013
prompt_confounds,deception,paraphrased_trigger,positive_suppression_fraction,0.9560406154315946,0.9071005427922978,0.9322160423143134
prompt_confounds,deception,malformed_trigger,positive_suppression_fraction,0.04640612958864027,-0.017159593004213148,0.014743932927634382
prompt_confounds,deception,relocated_trigger,positive_suppression_fraction,0.9017208142345957,0.7807616723643149,0.841700820873674
prompt_confounds,harmful,correct_trigger,positive_suppression_fraction,1.0,1.0,1.0
prompt_confounds,harmful,concept_only,positive_suppression_fraction,0.9287274129402544,0.8710902268847166,0.9040968762709427
prompt_confounds,harmful,monitoring_only,positive_suppression_fraction,0.05731048386280921,-0.04540243538734583,0.0038818006247521614
prompt_confounds,harmful,irrelevant_concept,positive_suppression_fraction,0.5476109649652521,0.37995544416299104,0.45803165923163547
prompt_confounds,harmful,nearby_concept,positive_suppression_fraction,0.11750415726145075,-0.034958957932690105,0.05362961702419478
prompt_confounds,harmful,paraphrased_trigger,positive_suppression_fraction,0.9058431865396434,0.8240301486162613,0.8695844785376774
prompt_confounds,harmful,malformed_trigger,positive_suppression_fraction,0.02770425126629236,-0.15509584466251106,-0.051825665001655696
prompt_confounds,harmful,relocated_trigger,positive_suppression_fraction,0.7633974373023813,0.6449099400915075,0.7070499843002366
behavior_preservation,deception,rescue,response_nll_shift,0.005565697411375659,-0.02131009916624715,-0.007929080916989234
behavior_preservation,deception,rescue,response_kl,0.013046038847237323,0.008139270676498023,0.010280507677722903
behavior_preservation,deception,induction,response_nll_shift,0.020040468871593473,-0.005424837575804802,0.007244898426917291
behavior_preservation,deception,induction,response_kl,0.012256029018880649,0.007634487895730642,0.009682485987732728
behavior_preservation,harmful,rescue,response_nll_shift,-0.09457607914507389,-0.13533048804104328,-0.11420916020870209
behavior_preservation,harmful,rescue,response_kl,0.0745656214892515,0.05782534301962005,0.0659139018249698
behavior_preservation,harmful,induction,response_nll_shift,0.11378982792794703,0.07370593778789043,0.09306615233421325
behavior_preservation,harmful,induction,response_kl,0.06073921826243167,0.046857048608595506,0.053601283703465015
zero_ablation,deception,natural_selected_rescue_fraction,rescue_fraction,0.9603505703162593,0.9110516026650064,0.9377318220077794
zero_ablation,deception,zero_ablation_fraction,rescue_fraction,0.38841460033595604,0.21994689596053021,0.2975668844054859
zero_ablation,harmful,natural_selected_rescue_fraction,rescue_fraction,0.8482674029656775,0.7513916681871283,0.8000976528456892
zero_ablation,harmful,zero_ablation_fraction,rescue_fraction,0.23441406412335097,-0.14295834479990926,0.06398357445989798
causal_falsification,deception,rescue:selected K16,causal_fraction,0.9597189791206695,0.9308699003739114,0.9455748160576058
causal_falsification,deception,rescue:max seeded head null,causal_fraction,0.017882022114597926,0.00601974499425159,0.011638588294926195
causal_falsification,deception,rescue:shifted heads,causal_fraction,0.036160600648811596,0.012920255858769807,0.024134143198037538
causal_falsification,deception,rescue:max site shuffle,causal_fraction,0.16721661987732556,0.05401152561877193,0.1067551677704536
causal_falsification,deception,induction:selected K16,causal_fraction,0.9943384590576869,0.9794558442339133,0.9874799387564597
causal_falsification,deception,induction:max seeded head null,causal_fraction,0.055377648433213786,0.029168625093581094,0.04143081571450208
causal_falsification,deception,induction:shifted heads,causal_fraction,0.22700769845254387,0.13187707107212,0.1779832220467607
causal_falsification,deception,induction:max site shuffle,causal_fraction,0.9910945747376647,0.9237908134399578,0.9582367483102414
causal_falsification,harmful,rescue:selected K16,causal_fraction,0.8751608948617577,0.8267076190746743,0.8503574083164436
causal_falsification,harmful,rescue:max seeded head null,causal_fraction,0.12551735995260346,0.0850589466467045,0.10298661547040823
causal_falsification,harmful,rescue:shifted heads,causal_fraction,0.09303951734536371,0.04111449273803621,0.06373331997449984
causal_falsification,harmful,rescue:max site shuffle,causal_fraction,0.2505345337678607,0.03847403903121028,0.16451285931659937
causal_falsification,harmful,induction:selected K16,causal_fraction,0.7601384633053113,0.6771796519802152,0.7219460736980327
causal_falsification,harmful,induction:max seeded head null,causal_fraction,0.08669361743899585,0.04967321654155317,0.06879821493876324
causal_falsification,harmful,induction:shifted heads,causal_fraction,0.168900289898386,0.08909073537854266,0.1278824429930875
causal_falsification,harmful,induction:max site shuffle,causal_fraction,0.9604672417337433,0.7031111440234505,0.8103116283805648
